7896181902553##DISGREN                                      300MCG CX 20 CAP##37,92 
7891317489564##FLUXENE                                      10MG CX 28 CAP##22,52 
7891317489588##FLUXENE                                      20MG CX 14 CAP##21,55 
7891317489533##FLUXENE                                      20MG CX 28 CAP##43,07 
7891317103033##FLUXENE                                      20MG CX 60 CAP##58,89 
7896112141426##FLUXIL                                       40MG CX 20 COMP##5,19 
7898331961229##FLUXILASE                                    100MG CX 8 CAP##7,74 
7898331961236##FLUXILASE                                    150MG CX 1 CAP##2,42 
7898331961243##FLUXILASE                                    150MG CX 2 CAP##4,84 
7898331961212##FLUXILASE                                    150MG CX 4 CAP##9,68 
7896422500852##FLUXOCOR                                     20MG CX 30 COMP REV##20,84 
7896422500883##FLUXOCOR                                     40MG CX 30 COMP REV##21,91 
7896714203515##FLUXON                                       25MG CX 30 COMP##6,02 
7896714203492##FLUXON                                       75MG CX 30 COMP##9,04 
7898096577673##FLUXTAR                                      3MG CX 30 CAP##19,38 
7898096577697##FLUXTAR                                      6MG CX 30 CAP##26,40 
7893736000153##FLUZIX                                       10MG CX 30 COMP##12,18 
7896317906165##FOLACIN                                      0,2MG/ML SOL FR GTS 30ML##7,18 
7896317906202##FOLACIN                                      0,4MG/ML SOL ORAL FR 100ML##11,17 
7896317906110##FOLACIN                                      5MG CX 20 COMP REV##11,16 
7896317906127##FOLACIN                                      5MG CX 30 COMP REV##16,75 
7898272940697##FOLANTINE                                    5MG CX 1005 COMP EMB HOSP##136,11 
7898272940048##FOLANTINE                                    5MG CX 30 COMP##8,01 
7898272940543##FOLANTINE                                    5MG CX 500 COMP EMB HOSP##67,71 
7896006235002##FOLDAN                                       50MG LOCAO FR 50ML##12,71 
7896006238003##FOLDAN                                       50MG SAB 70##11,35 
7896006236009##FOLDAN                                       50MG/G POM DERM BG 45##19,40 
7896360000995##FOLIANE                                      FR 30 COMP REV##28,90 
7896006211600##FOLICORIN                                    15MG CX 10 COMP##68,92 
7898495600125##FOLIFEME                                     FR 30 CAP##35,56 
7898495600132##FOLIFEME                                     FR 60 CAP##67,44 
7898495600125##FOLIFEME                                     30 CAP##38,96 
7898495600132##FOLIFEME                                     60 CAP##73,87 
7896317901757##FOLIFER                                      15+0,5MG/ML SOL ORAL FR 100ML##24,89 
7896317900750##FOLIFER                                      150+5MG CX 30 COMP REV##37,30 
7896317901801##FOLIFER                                      30+0,2MG/ML SOL FR GTS 30ML##22,06 
7896317907551##FOLIFER FERRO                                250MG/ML SOL FR GTS X 30ML##28,52 
7896004726700##FOLIFOLIN                                    5MG CX 30 COMP##8,55 
7898100264049##FOLIN                                        5MG FR 100 COMP##47,36 
7898100264179##FOLIN                                        5MG FR 30 COMP##17,88 
7891317466206##FOLINATO DE CALCIO                           10MG SOL INJ CX 10FA X 30ML##1.983,61 
7891317447229##FOLINATO DE CALCIO                           50MG PO LIOF SOL INJ CX 50FA EMB HOSP##2.820,84 
7896637026505##FOLINE                                       CX 60 CAP##46,67 
7896006250036##FOLIPUR                                      5MG ENV 20 COMP##5,71 
7896226101781##FOLIRON                                      5MG+150MG CX 30COMP REV##23,74 
7896226101699##FOLIRON ITF                                  SUS ORAL FR 30ML##28,66 
7899095202962##FOLONIN                                      5MG CX 20 COMP REV##5,87 
7896707228037##FONERGORAL                                   3,0MG ENV 12 PAST SB LARANJA##8,34 
7896707228020##FONERGORAL                                   3MG CX 12 PAST SAB LIMAO##8,34 
7896006207726##FONT D                                       GOTAS FR 10ML##20,00 
7898100268184##FONTELAX                                     10 SACHES##29,50 
7898272940956##FONTI B1                                     300MG CX 1000 COMP REV EMB HOSP##489,65 
7898272940765##FONTI B1                                     300MG CX 30 COM REV##14,69 
7898272942233##FONTICAL                                     1250MG CX 1020 COMP EMB HOSP##570,40 
7898272940536##FONTICAL                                     1250MG CX 30 COMP##16,77 
7898272942226##FONTICAL                                     1250MG CX 510 COMP EMB HOSP##285,20 
7898272940086##FONTICAL                                     1250MG CX 60 COMP MAST##33,55 
7896006221425##FONTOL                                       650+65MG CX 100 COMP REV##67,80 
7896006211297##FONTOL                                       650+65MG CX 20 COMP REV##13,57 
7896112469421##FONTOLAX                                     CX 20 CAP##28,48 
7896006226901##FOR GAS                                      40MG CX 20 COMP##13,36 
7896006220954##FOR GAS                                      75MG SUS ORAL FR 10ML##8,91 
7896006220961##FOR GAS                                      75MG/ML EMU ORAL FR GTS 15ML##11,57 
7896261007239##FORADIL                                      12MCG PO INAL CX 30 CAP S/ INAL##39,54 
7896261007703##FORADIL                                      12MCG PO INAL CX 60 CAP S/ INAL##79,07 
7896261000957##FORADIL                                      DP 12MCG CX 30 CAP##46,89 
7896261003804##FORADIL                                      DP 12MCG CX 60 CAP##87,61 
7891158025822##FORANE                                       FR 100ML##561,19 
7896261007208##FORASEQ                                      12+200MCG CX 20+20CAP C/INAL##26,93 
7896261005570##FORASEQ                                      12+200MCG CX 60+60 CAP##87,61 
7896261015487##FORASEQ                                      12+200MCG CX 60+60 CAP S/INAL##82,13 
7896261007192##FORASEQ                                      12+400MCG CX 20+20CAP C/INAL##28,28 
7896261005587##FORASEQ                                      12+400MCG CX 60+60 CAP##87,61 
7896261015494##FORASEQ                                      12+400MCG CX 60+60 CAP S/INAL##82,13 
7891317466374##FORFIG                                       100MG CX 20 COMP REV##27,75 
7891317466350##FORFIG                                       100MG CX 30 COMP REV##43,61 
7891317466640##FORFIG                                       14,3MG/ML SUS OR FR 100ML+CM##26,11 
7891317466404##FORFIG                                       200MG CX 20 CAP GEL DURA##59,13 
7893736023107##FORGASTRY                                    FR 240ML##15,56 
7895858002176##FORMET                                       500MG CX 200 COMP REV EMB HOSP##58,09 
7895858002183##FORMET                                       850MG CX 200 COMP REV EMB HOSP##69,75 
7896181917779##FORMOCAPS                                    12MCG FR 15 CAP+INAL##17,55 
7896181917762##FORMOCAPS                                    12MCG FR 15 CAP+REFIL##14,31 
7896181907282##FORMOCAPS                                    12MCG PO INAL CX 30 CAP DURA+INAL##36,86 
7896181907558##FORMOCAPS                                    12MCG PO INAL CX 30 CAP DURA+REFIL##30,03 
7896472502400##FORMYN                                       1G CX 30 COMP##23,29 
7896472502394##FORMYN                                       500MG CX 30 COMP##11,34 
7896472502707##FORMYN                                       500MG CX 500 COMP EMB HOSP##181,49 
7896472502387##FORMYN                                       850MG CX 30 COMP##15,14 
7896269900518##FORTAZ                                       1G SOL INJ FR 10ML##38,88 
7896269900525##FORTAZ                                       2G SOL INJ FR 10ML##81,84 
7896672201547##FORTEN                                       CX 10 FR X 10ML##35,81 
7896672202988##FORTEN                                       CX 20 FR 10ML##71,62 
7896382704697##FORTEO                                       CANETA INJ DESC 3ML##2.133,30 
7896382706769##FORTEO COLTER PEN                            250MCG/ML SOL INJ X 2,4ML+SIST APLIC##2.133,30 
7896677701523##FORTEVIRON                                   250MG KIT 2 CX 60 COMP##100,26 
7896677700281##FORTEVIRON                                   CX 60 COMP##55,90 
7894164000647##FORTEVIT                                     3+0,05+0,8MG/ML SOL OR FR 500ML##21,87 
7898014561043##FORTONICO                                    SOL FR 400ML##12,70 
7896016807909##FORXIGA                                      10MG CX 14 COMP##47,01 
7896016807909##FORXIGA                                      10MG CX 14 COMP##44,78 
7896016807916##FORXIGA                                      10MG CX 30 COMP##100,76 
7896016807916##FORXIGA                                      10MG CX 30 COMP##95,96 
7896016807893##FORXIGA                                      10MG CX 7 COMO##23,51 
7896016807893##FORXIGA                                      10MG CX 7 COMP##22,40 
7896016807879##FORXIGA                                      5MG CX 14 COMP##23,51 
7896016807879##FORXIGA                                      5MG CX 14 COMP##22,40 
7896016807886##FORXIGA                                      5MG CX 30 COMP##50,37 
7896016807886##FORXIGA                                      5MG CX 30 COMP##47,98 
7896016807862##FORXIGA                                      5MG CX 7 COMP##11,75 
7896016807862##FORXIGA                                      5MG CX 7 COMP##11,19 
7897337706421##FOSAMAX                                      70MG CX 4 COMP##114,30 
7897337709033##FOSAMAX D                                    70MG+5600UI CX 4 COMP##89,04 
7897337709026##FOSAMAX D                                    70MG+2800UI CX 4 COMP##98,81 
7896004716121##FOSFATO DE CLINDAMICINA                      10MG GEL BG 45##20,73 
7896004711430##FOSFATO DE CLINDAMICINA                      20MG CREM VAG BG 20G+3APLIC##28,60 
7898148294336##FOSFATO DE CLINDAMICINA                      20MG/G CREME VAG BG 20G+3APLIC##27,71 
7896006236559##FOSFATO DE CLINDAMICINA                      150MG INJ CX 50AMP X 4ML##618,77 
7898208145868##FOSFATO DE CLINDAMICINA                      150MG/ML SOL INJ CX 50 AMP X 2ML EMB HOSP##311,32 
7898208145882##FOSFATO DE CLINDAMICINA                      150MG/ML SOL INJ CX 50 AMP X 4ML EMB HOSP##595,27 
7898361700567##FOSFATO DE POTASSIO                          2MG/ML SOL INJ CX 100 AMP X 10ML##125,58 
7898361700564##FOSFATO DE POTASSIO                          2MG/ML SOL INJ CX 200 AMP X 10ML##251,20 
7898487612280##FOSFATO DISSODICO DE BETAMETASONA            4MG/ML SOL INJ CX 50 AMP X 1ML EMB HOSP##152,14 
7896112144656##FOSFATO DISSODICO DE DEXAMETASONA            2MG SOL INJ CX 1AMP X 1ML##2,62 
7896112144663##FOSFATO DISSODICO DE DEXAMETASONA            4,0MG SOL INJ CX 1AMP X 2,5ML##5,61 
7898148298259##FOSFATO SODICO DE PREDNISOLONA               1MG SOL OR CX 50 FR X 100ML+50 CM 10ML HOSP##289,27 
7898148298266##FOSFATO SODICO DE PREDNISOLONA               1MG/ML SOL OR FR  X 120 ML + CP DOSAD 10ML##15,73 
7898148297184##FOSFATO SODICO DE PREDNISOLONA               1MG/ML SOL OR FR 100ML+SER DOS##13,10 
7898148297207##FOSFATO SODICO DE PREDNISOLONA               1MG/ML SOL OR FR 120ML+SER DOS##15,73 
7898148298303##FOSFATO SODICO DE PREDNISOLONA               3MG/ML SOL OR 50FR X 60ML+CM HOSP##449,76 
7898148296507##FOSFATO SODICO DE PREDNISOLONA               3MG/ML SOL OR 50FRX120ML+50SER DOS EMB HOSP##890,06 
7898148298181##FOSFATO SODICO DE PREDNISOLONA               3MG/ML SOL OR CX 50 FR X 100ML+50 CM EMB HOSP##741,72 
7898148296477##FOSFATO SODICO DE PREDNISOLONA               3MG/ML SOL OR FR 100ML+SER DOS##15,77 
7898148296491##FOSFATO SODICO DE PREDNISOLONA               3MG/ML SOL OR FR 120ML+SER DOS##16,78 
7898148296552##FOSFATO SODICO DE PREDNISOLONA               3MG/ML SOL OR FR 60ML+SER DOS##9,17 
7896422506298##FOSFATO SODICO DE PREDNISOLONA               1MG SOL ORAL FR 100ML+DOS##15,01 
7896181914303##FOSFATO SODICO DE PREDNISOLONA               3MG SOL ORAL 120ML+PIPETA##16,65 
7896181914280##FOSFATO SODICO DE PREDNISOLONA               3MG SOL ORAL 60ML+PEPITA##8,36 
7896672201158##FOSTAIR                                      SPRAY C/120 DOSES##89,72 
7896672201257##FOSTAIR DPI                                  PO PARA INALACAO 120 DOSES##89,72 
7896317909302##FOSTEO D                                     600MG+400UI CX 30 COMP REV##19,29 
7896317909319##FOSTEO D                                     600MG+400UI CX 60 COMP REV##38,61 
7895197030427##FOSTIMON M                                   150UI PO LIOF INJ FA+DIL X 1ML##247,56 
7895197030397##FOSTIMON M                                   75UI PO LIOF INJ FA+DIL X 1ML##115,61 
7891268102956##FRADEMICINA                                  300MG SOL INJ CX 1AMP X1ML PED##7,54 
7891268102918##FRADEMICINA                                  500MG CX 12 CAP##70,52 
7891268102932##FRADEMICINA                                  600MG SOL INJ CX 1AMP X2ML##12,46 
7891268103649##FRAGMIN                                      2500UI INJ CX 10 SER X 0,2ML+DISP##76,49 
7891268103045##FRAGMIN                                      2500UI INJ CX 10 SER X 0,2ML##76,49 
7891268103632##FRAGMIN                                      5000UI - CX 10 SER X 0,2ML D.P.##132,83 
7891268103052##FRAGMIN                                      5000UI INJ CX 10 SER X 0,2ML##132,83 
7891058011468##FRANOL                                       120+15MG CX 20 COMP##4,28 
7896015517137##FRAXIPARINA                                  0,3ML CX 10 SER##191,55 
7896015517120##FRAXIPARINA                                  0,6ML CX 5 SER##177,01 
7896658002915##FREENAL                                      0,5MG SOL NAS FR 20ML##7,84 
7896523207407##FRENOTOSSE                                   13,33MG/ML XPE FR 120ML SAB MEL##8,40 
7896523207384##FRENOTOSSE                                   13,33MG/ML XPE FR 120ML SB MORANGO##11,03 
7897655401749##FRENURIN                                     1 MG/ML XPE CT FR VD AMB X 120 ML##21,11 
7897655401725##FRENURIN                                     5 MG COM CT BL AL PLAS INC X 30##15,82 
7897655401732##FRENURIN                                     5 MG COM CT BL AL PLAS INC X 60##26,43 
7897316805480##FRESH CLEAR                                  0,12+1,4% FR 15ML##10,27 
7897316805886##FRESH CLEAR                                  FR 15ML##10,79 
7897316805541##FRESH TEARS                                  0,5% FR 5ML##12,27 
7897316805060##FRESH TEARS                                  1% SOL FR 15ML##44,98 
7897316804810##FRESH TEARS                                  5% SOL FR 10ML##24,54 
7897316804964##FRESH TEARS                                  5% SOL FR 15ML##36,84 
7897316805893##FREX CLEAN                                   FR 80ML##64,82 
7897316806159##FREX CLEAN T                                 FR 80ML##74,55 
7891058325039##FRISIUM                                      10MG CX 20 COMP##9,34 
7891058326005##FRISIUM                                      20MG CX 20 COMP##17,50 
7896004702414##FRIXOPEL                                     GEL BG 25##12,41 
7891268103113##FRONTAL                                      0,25MG CX 30 COMP##14,43 
7891268103144##FRONTAL                                      0,5MG CX 30 COMP##28,17 
7891268103175##FRONTAL                                      1MG CX 30 COMP##50,04 
7891268103571##FRONTAL                                      2MG FR 30 COMP+1 PORTA-COMP##79,16 
7891268103946##FRONTAL SL                                   0,5MG COM SUB-LING INC CX 15##14,07 
7891268103953##FRONTAL SL                                   0,5MG COM SUB-LING INC CX 30##28,13 
7891268103205##FRONTAL XR                                   0,50MG CX 30 COMP LIB LENTA##28,17 
7891268103243##FRONTAL XR                                   1MG CX 30 COMP##50,04 
7891268103212##FRONTAL XR                                   2MG CX 30 COMP##79,16 
7896226101804##FRUTOPLEX                                    INJ CX 3 AMP X 10ML##15,48 
7896226101811##FRUTOPLEX                                    INJ CX 3 AMP X 20ML##25,41 
7897299900066##FRUTOSSE                                     3MG XPE FR 100ML INF##10,18 
7897299900059##FRUTOSSE                                     6MG XPE FR 100ML ADU##15,50 
7897299900073##FRUTOSSE                                     7,5MG GOT FR 50ML##10,22 
7896676401561##FRUTOVITAM                                   INJ CX 100AMP X 10ML EMB HOSP##356,61 
7896206400231##FULCIN                                       500MG CX 20 COMP##18,27 
7896004722160##FUMARATO DE BISOPROLOL                       1,25MG CX 30 COMP REV##34,04 
7896004739595##FUMARATO DE BISOPROLOL                       10MG CX 30 COMP REV##54,31 
7896004722177##FUMARATO DE BISOPROLOL                       2,5MG CX 30 COMP REV##39,16 
7896004739588##FUMARATO DE BISOPROLOL                       5MG CX 30 COMP REV##47,65 
7898912189387##FUMARATO DE BISOPROLOL+HIDROCLOROTIAZIDA     10+6,25MG CX 30 COMP REV##34,24 
7898912189363##FUMARATO DE BISOPROLOL+HIDROCLOROTIAZIDA     2,5+6,25 MG CX 30 COMP REV##25,98 
7898912189370##FUMARATO DE BISOPROLOL+HIDROCLOROTIAZIDA     5+6,25MG CX 30 COMP REV##33,79 
7896004708621##FUMARATO DE CETOTIFENO                       0,2MG XPE FR 120ML##25,11 
7894916140607##FUMARATO DE CETOTIFENO                       0,2MG XPE FR 120ML##25,11 
7896004708614##FUMARATO DE CETOTIFENO                       0,2MG XPE FR 120ML+CM##27,20 
7899547508093##FUMARATO DE CETOTIFENO                       0,2MG/ML XPE CX 50 FR X 120ML+50CM EMB HOSP##885,36 
7896714229645##FUMARATO DE CETOTIFENO                       0,2MG/ML XPE FR 120ML+CM##27,50 
7899547508086##FUMARATO DE CETOTIFENO                       0,2MG/ML XPE FR X 120ML+CM##27,19 
7896714232577##FUMARATO DE CETOTIFENO                       0,345MG SOL OFT FR 5ML##15,59 
7896006285311##FUMARATO DE CETOTIFENO                       SOL XPE FR 120ML+CP MED##24,04 
7896181911746##FUMARATO DE CETOTIFENO                       0,2MG XPE FR 100ML+CM##23,29 
7896181914112##FUMARATO DE CETOTIFENO                       0,2MG XPE FR 120ML+CM##20,25 
7896181913771##FUMARATO DE CETOTIFENO                       1MG SOL OR FR GTS 30ML##29,76 
7896422505208##FUMARATO DE CETOTIFENO                       1MG SOL ORAL FR 30ML##31,92 
7896422505215##FUMARATO DE CETOTIFENO                       XPE FR 120ML##27,73 
7896112128151##FUMARATO DE CETOTIFENO                       0,2MG/ML XPE FR 120ML+COP##26,77 
7896676407273##FUMARATO DE QUETIAPINA                       100MG CX 200 COMP EMB HOSP##1.156,83 
7896004730370##FUMARATO DE QUETIAPINA                       100MG CX 30 COMP REV##173,50 
7896004730400##FUMARATO DE QUETIAPINA                       100MG CX 30 COMP REV##173,50 
7894916146265##FUMARATO DE QUETIAPINA                       100MG CX 30 COMP REV##173,50 
7896676407334##FUMARATO DE QUETIAPINA                       200MG CX 200 COMP EMB HOSP##2.081,18 
7896004730387##FUMARATO DE QUETIAPINA                       200MG CX 30 COMP REV##312,17 
7896004730417##FUMARATO DE QUETIAPINA                       200MG CX 30 COMP REV##312,17 
7894916146272##FUMARATO DE QUETIAPINA                       200MG CX 30 COMP REV##312,17 
7896004730363##FUMARATO DE QUETIAPINA                       25MG CX 14 COMP REV##24,32 
7896004730394##FUMARATO DE QUETIAPINA                       25MG CX 14 COMP REV##24,32 
7894916146258##FUMARATO DE QUETIAPINA                       25MG CX 14 COMP REV##24,32 
7896004738949##FUMARATO DE QUETIAPINA                       25MG CX 30 COMP REV##41,72 
7897595616982##FUMARATO DE QUETIAPINA                       100MG CX 28 COMP REV##161,96 
7896658015281##FUMARATO DE QUETIAPINA                       100MG CX 30 COMP REV##167,60 
7896015524418##FUMARATO DE QUETIAPINA                       100MG CX 30 COMP REV##173,52 
7897595617019##FUMARATO DE QUETIAPINA                       200MG CX 28 COMP REV##291,33 
7896658015328##FUMARATO DE QUETIAPINA                       200MG CX 30 COMP REV##301,51 
7896015524470##FUMARATO DE QUETIAPINA                       200MG CX 30 COMP REV##312,16 
7896015524319##FUMARATO DE QUETIAPINA                       25MG CX 10 COMP REV##17,38 
7897595616951##FUMARATO DE QUETIAPINA                       25MG CX 14 COMP REV##24,30 
7896658015236##FUMARATO DE QUETIAPINA                       25MG CX 15 COMP REV##25,18 
7896015524357##FUMARATO DE QUETIAPINA                       25MG CX 30 COMP REV##52,15 
7896112163640##FUMARATO DE QUETIAPINA                       100MG CX 28 COMP REV##161,97 
7895296089098##FUMARATO DE QUETIAPINA                       100MG CX 30 COMP REV##173,50 
7896112163671##FUMARATO DE QUETIAPINA                       200MG CX 28 COMP REV##291,38 
7895296089142##FUMARATO DE QUETIAPINA                       200MG CX 30 COMP REV##312,17 
7896112154846##FUMARATO DE QUETIAPINA                       25MG CX 14 COMP REV##24,35 
7895296089029##FUMARATO DE QUETIAPINA                       25MG CX 14 COMP REV##24,32 
7896112163770##FUMARATO DE QUETIAPINA                       25MG CX 28 COMP REV##48,68 
7895296180016##FUMARATO DE QUETIAPINA                       300MG CX 30 COMP REV##457,00 
7896181920328##FUMARATO DE QUETIAPINA                       100MG CX 30 COMP REV##167,60 
7896181920366##FUMARATO DE QUETIAPINA                       200MG CX 30 COMP REV##301,51 
7896181920274##FUMARATO DE QUETIAPINA                       25MG CX 15 COMP REV##25,18 
7897679601002##FUNCHICPOREA                                 FR PO X 3##10,70 
7896014688548##FUNGICIDEN                                   2MG/ML SOL INJ INFUS IV 1FR SIS FECHX100ML##85,06 
7898495603027##FUNGICORT                                    20+0,64MG/G CREM DERM BG 30##17,26 
7898495603010##FUNGICORT                                    20+0,64MG/G POM DERM BG 30##17,68 
7893736023961##FUNGIDERM                                    FR X 50ML##28,55 
7897655401695##FUNGIROX                                     10MG CREME DERM BG 20##25,56 
7897655401688##FUNGIROX                                     10MG SOL TOP FR 15ML##21,89 
7897655401756##FUNGIROX                                     80 MG/G ESMALTE P/UNHA FR 6##94,31 
7897655401701##FUNGIROX                                     80MG/G ESMALTE P/UNHAS FR 3##87,57 
7896862960131##FUNGISTATINA                                 100000UI/ML SUS ORAL FR 50ML+CGT##18,05 
7898060138992##FUNGISTEN                                    10MG/G CREM DERM BG X 20##9,02 
7898049795406##FUNGITRIN                                    100+50MG/4G CREM VAG BG 45G+10APLIC##34,60 
7896862912024##FUNGONAZOL                                   20MG/ML SHAMPOO FR 100ML##29,38 
7896676410730##FUNTYL                                       10MG CREME DERM BG X 20##14,72 
7896676410761##FUNTYL                                       250MG CX 14 CAP##61,86 
7896676410778##FUNTYL                                       250MG CX 28 CAP##124,36 
7896181913832##FUORATO DE MOMETASONA                        CREME BG 20##16,37 
7896181913986##FUORATO DE MOMETASONA                        POM BG 20##15,64 
7891142165152##FURACIN                                      2MG POM BG 30##8,05 
7891142165176##FURACIN                                      2MG SOL FR 30ML##5,77 
7896004715537##FUROATO DE MOMETASONA                        1MG CREME BG 20##21,75 
7896004715520##FUROATO DE MOMETASONA                        1MG CREME BG 20##16,27 
7896714218892##FUROATO DE MOMETASONA                        1MG CREME BG 20##21,80 
7894916143455##FUROATO DE MOMETASONA                        1MG CREME BG 20##20,98 
7896004715599##FUROATO DE MOMETASONA                        1MG POM BG 20##21,75 
7896004715568##FUROATO DE MOMETASONA                        1MG POM BG 20##16,27 
7896714217451##FUROATO DE MOMETASONA                        1MG POM BG 20##21,80 
7896422515344##FUROATO DE MOMETASONA                        1MG CREME DERM BG 20##21,33 
7896422515368##FUROATO DE MOMETASONA                        1MG POM DERM BG 20##21,33 
7891317008826##FUROATO DE MOMETASONA                        CREME BG 20##16,38 
7891317008833##FUROATO DE MOMETASONA                        POM BG 20##16,38 
7897917000192##FUROMIDA                                     40MG CT 2 BL PLAS AMB X 10 COM##7,43 
7897917000192##FUROMIDA                                     40MG CT 2 BL PLAS INC X 10 COM##7,42 
7898404220161##FUROSANTISA                                  20MG SOL INJ CX 100 AMP X 2ML HOSP##37,63 
7898060131993##FUROSECORD                                   40MG CX 20 COMP##4,17 
7899547504538##FUROSEMIDA                                   40MG CX 500 COMP EMB HOSP##88,22 
7896181906582##FUROSEMIDA                                   40MG CX 30 COMP##9,36 
7896112145882##FUROSEMIDA                                   10MG/ML SOL INJ CX 5 AMP X 2ML##5,25 
7898148300747##FUROSEMIDA                                   40 MG CX 500 COMP EMB HOSP##78,50 
7896112170310##FUROSEMIDA                                   40MG CX 20 COMP BRANCO##4,78 
7896112149033##FUROSEMIDA                                   40MG CX 20 COMP LEITE##4,78 
7898216360338##FUROSEN                                      10MG CX 50 AMP X 2ML HOSP##36,27 
7898216360321##FUROSEN                                      40MG CX 20 COMP##4,18 
7896014688586##FUROSETRON                                   10MG SOL INJ CX 50 AMP X 2ML##35,63 
7896023788796##G500 BALSAMICO                               150ML##22,27 
7897460400098##GABALLON                                     10+10+0,4+0,8+0,8MG XPE FR 100ML##21,56 
7897460401347##GABALLON                                     50+50+2+4+4MG CX 20 COMP##21,83 
7894916503556##GABANEURIN                                   300MG CX 30 CAP##39,02 
7894916503563##GABANEURIN                                   400MG CX 30 CAP##49,85 
7894916506847##GABANEURIN                                   600MG CX 27 COMP REV##77,27 
7896004713250##GABAPENTINA                                  300MG CX 30 CAP##61,59 
7896004713274##GABAPENTINA                                  300MG CX 30 CAP##46,37 
7894916142588##GABAPENTINA                                  300MG CX 30 CAP##58,60 
7899547514315##GABAPENTINA                                  300MG CX 30 COMP##58,12 
7899547514346##GABAPENTINA                                  300MG CX 300 COMP EMB HOSP##580,25 
7899547514322##GABAPENTINA                                  300MG CX 60 COMP##116,05 
7896004713267##GABAPENTINA                                  400MG CX 30 CAP##75,16 
7896004713281##GABAPENTINA                                  400MG CX 30 CAP##61,45 
7896714225852##GABAPENTINA                                  400MG CX 30 CAP##75,16 
7894916142595##GABAPENTINA                                  400MG CX 30 CAP##70,49 
7899547514377##GABAPENTINA                                  400MG CX 30 COMP##70,73 
7899547514407##GABAPENTINA                                  400MG CX 300 COMP EMB HOSP##705,07 
7899547514384##GABAPENTINA                                  400MG CX 60 COMP##141,01 
7896004727028##GABAPENTINA                                  600MG CX 3BL X 9 COMP REV##88,96 
7896004727035##GABAPENTINA                                  600MG CX 3BL X 9 COMP REV##88,96 
7896181904946##GABAPENTINA                                  300MG CX 30 CAP##61,20 
7898361882013##GABAPENTINA                                  300MG CX 10 CAP##20,58 
7898361882020##GABAPENTINA                                  300MG CX 30 CAP##61,78 
7898361882037##GABAPENTINA                                  400MG CX 10 CAP##25,07 
7898361882044##GABAPENTINA                                  400MG CX 30 CAP##75,20 
7897076911001##GABAPENTINA                                  300MG CX 30 CAP##62,09 
7898146820582##GABAPENTINA                                  300MG CX 30 CAP##45,44 
8902220109186##GABAPENTINA                                  300MG CX 30 COMP##46,44 
7898146820612##GABAPENTINA                                  400MG CX 30 CAP##60,38 
8902220109193##GABAPENTINA                                  400MG CX 30 COMP##61,26 
7895296035040##GABAPENTINA                                  600MG 3 BL X 9 COMP REV##88,96 
7891106905039##GADOVIST                                     1ML  SOL INJ FA X 7,5ML##103,76 
7891106905046##GADOVIST                                     1MMOL SOL INJ FA 15ML##331,25 
7896261012998##GALVUS                                       50MG CX 14 COMP##36,11 
7896261012929##GALVUS                                       50MG CX 28 COMP##72,21 
7896261012936##GALVUS                                       50MG CX 56 COMP##144,44 
7896261017146##GALVUS MET                                   50+1000MG CX 14 COMP REV##36,11 
7896261016262##GALVUS MET                                   50+1000MG CX 56 CAP REV##144,44 
7896261017122##GALVUS MET                                   50+500MG CX 14 COMP REV##36,11 
7896261016248##GALVUS MET                                   50+500MG CX 56 CAP REV##144,44 
7896261017139##GALVUS MET                                   50+850MG CX 14 COMP REV##36,11 
7896261016255##GALVUS MET                                   50/850MG CX 56 CAP REV##144,44 
7896083400607##GAMALINE                                     900MG CX 15 CAP##36,25 
7896083402557##GAMALINE V                                   900MG CX 30 CAP##68,04 
7896685300626##GAMAX                                        CX 15 CAP##45,72 
7896685301234##GAMAX                                        CX 30 CAP##74,11 
7898146822821##GAMIBETAL                                    300MG CX 10 CAP##25,96 
7898146822838##GAMIBETAL                                    300MG CX 30 CPS##37,40 
7898146822852##GAMIBETAL                                    400MG CX 30 CPS##46,65 
7897460400159##GAMMAR                                       200MG/ML XPE FR X 100ML##28,86 
7897460401323##GAMMAR                                       250MG CX 36 COMP##23,70 
7896006226420##GANCICLOTRAT                                 500MG PO LIOF FA+DIL X 10ML##145,60 
7891317426422##GANCICLOVIR SODICO                           500MG INJ 50FA+50DIL X 10ML##4.733,22 
7897316805220##GANFORT                                      FR 3,5ML##79,08 
7897316805053##GANFORT                                      FR 3ML##67,79 
7897316805237##GANFORT                                      FR 5ML##112,99 
7896014677009##GANVIRAX                                     250MG FR 40 CAP GEL DURA##982,58 
7891142153234##GARAMICINA                                   120MG INJ 2 AMP X 1,5ML##14,84 
7891142153227##GARAMICINA                                   160MG INJ 1AMP X 2ML##10,13 
7891142153357##GARAMICINA                                   1MG CREME BG 30##6,55 
7891142153166##GARAMICINA                                   20MG INJ 2 AMP X 1ML PED##4,35 
7891142153203##GARAMICINA                                   280MG 1AMP X 2ML+SER##18,46 
7891142153135##GARAMICINA                                   40MG INJ CX 2 AMP X 1ML##5,20 
7891142153258##GARAMICINA                                   60MG CX 2 AMP X 1,5ML##6,24 
7891142153180##GARAMICINA                                   80MG INJ CX 2 AMP X 2ML##10,62 
7891142153456##GARASONE                                     3+1MG SOL OFT FR 10ML##6,89 
7896714201504##GARBITAL                                     100MG CX 20 COMP##4,40 
7896714215754##GARBITAL                                     100MG CX 200 COMP##44,04 
7896070600669##GARDENAL                                     100MG CX 20 COMP##5,18 
