7896023792113##OLEO DE LINHACA                              FR 30 COMP##23,72 
7896004733234##PREDNISOLONA                                 20MG CX 10 COMP REV##9,64 
7896658016066##PREDNISOLONA                                 20MG CX 10 COMP##9,55 
7896181921011##PREDNISOLONA                                 20MG CX 10 COMP##9,55 
7896658016042##PREDNISOLONA                                 5MG CX 20 COMP##7,74 
7896181920991##PREDNISOLONA                                 5MG CX 20 COMP##7,74 
7896714212104##PREDNISONA                                   20MG CX 10 COMP##11,46 
7896004706313##PREDNISONA                                   20MG CX 10 COMP##12,39 
7898148290901##PREDNISONA                                   20MG CX 10 COMP##11,76 
7896004707990##PREDNISONA                                   20MG CX 10 COMP##11,33 
7894916141123##PREDNISONA                                   20MG CX 10 COMP##10,07 
7896714212098##PREDNISONA                                   20MG CX 20 COMP##21,74 
7898148291205##PREDNISONA                                   20MG CX 600 COMP EMB HOSP##279,40 
7896714212081##PREDNISONA                                   5MG CX 20 COMP##7,83 
7896004706306##PREDNISONA                                   5MG CX 20 COMP##8,50 
7896006276333##PREDNISONA                                   5MG CX 20 COMP##8,11 
7896004708003##PREDNISONA                                   5MG CX 20 COMP##7,74 
7894916141116##PREDNISONA                                   5MG CX 2BL X 10 COMP##8,29 
7898148290871##PREDNISONA                                   5MG CX 600 COMP EMB HOSP##124,98 
7895296286039##PREDNISONA                                   20MG CX 10 COMP##12,38 
7899547521740##PREDNISONA                                   20MG CX 120 COMP (EMB FRAC)##52,16 
7898148291182##PREDNISONA                                   20MG CX 20 COMP##19,36 
7899547521726##PREDNISONA                                   5MG CX 120 COMP (EMB FRAC)##23,71 
7895296286022##PREDNISONA                                   5MG CX 20 COMP##8,48 
7896422517447##PREDNISONA                                   20MG CX 10 COMP##12,39 
7891317409333##PREDNISONA                                   20MG CX 10 COMP##11,46 
7896006276159##PREDNISONA                                   20MG CX 10 COMP##12,59 
7898049796052##PREDNISONA                                   20MG CX 10 COMP##9,36 
7898049796069##PREDNISONA                                   20MG CX 20 COMP##17,18 
7896422517423##PREDNISONA                                   20MG CX 30 COMP##37,84 
7891317458287##PREDNISONA                                   20MG CX 60 COMP EMB FRAC##58,77 
7898049796021##PREDNISONA                                   5 MG COM CT BL AL PLAS INC X 10##3,48 
7896422517485##PREDNISONA                                   5MG CX 20 COMP##8,50 
7891317414849##PREDNISONA                                   5MG CX 20 COMP##7,86 
7898049796038##PREDNISONA                                   5MG CX 20 COMP##6,78 
7899095235083##PREDOPTIC                                    10MG/ML SUS OFT FR 5ML##21,69 
7895296288026##PREDSIGMA                                    3MG/ML FR 60ML##11,97 
7895296282017##PREDSIGMA                                    20MG BL X 10 COMP##9,95 
7891142177056##PREDSIM                                      20MG CX 10 COMP##16,48 
7891142177155##PREDSIM                                      3MG SOL ORAL FR 100ML+DOS##26,51 
7891142177162##PREDSIM                                      3MG SOL ORAL FR 60ML+DOS##15,36 
7891142177223##PREDSIM                                      40MG CX 4 COMP##13,18 
7891142177216##PREDSIM                                      40MG CX 7 COMP##24,10 
7891142177032##PREDSIM                                      5MG CX 10 COMP##5,64 
7891142177049##PREDSIM                                      5MG CX 20 COMP##11,34 
7891142177124##PREDSIM GOTAS                                11MG FR 20ML##18,94 
7896676405828##PREDSON                                      20MG CX 20BL X 10 COMP EMB HOSP##112,56 
7896676405811##PREDSON                                      5MG CX 20BL X 10 COMP EMB HOSP##75,81 
7894916500821##PREG-LESS                                    150MG INJ CX 1AMP X 1ML##8,04 
7896112172192##PREGABALINA                                  150MG CX 28 CAP##83,66 
7896112172123##PREGABALINA                                  75MG CX 28 CAP##54,56 
7896181920854##PREGABALINA                                  75MG CX 30 CAP##58,45 
7896658015908##PREGABALINA                                  75MG CX 30 CAP GEL DURA##58,45 
7898505091509##PREGNOLAN                                    150+10MG/ML SOL INJ 1 AMP X 1ML##8,83 
7898505091509##PREGNOLAN                                    150MG/ML 10MG/ML SOL INJ AMB X 1ML##9,61 
7896658002540##PRELONE                                      11MG  FR X 10 ML##8,77 
7896658011276##PRELONE                                      11MG/ML FR GTS 20ML##17,56 
7896658005145##PRELONE                                      20MG CX 10 COMP##15,27 
7896658009532##PRELONE                                      3MG SOL OR FR 120ML+PIP DOS##25,01 
7896658009518##PRELONE                                      3MG SOL OR FR 60ML+PIP DOS##13,03 
7896658009600##PRELONE                                      3MG SOL ORAL FR 30ML+PIP DOS##6,50 
7896658011580##PRELONE                                      5MG CX 10 COMP##5,22 
7896658005763##PRELONE                                      5MG CX 20 COMP##10,43 
7891045008228##PREMARIN                                     0,625MG CREME VAG BG 26G+APLIC##27,27 
7891045008716##PREMARIN                                     0,625MG CX 28 DR##25,23 
7891045008174##PREMARIN                                     0,3MG CX 28 DR##16,28 
7898331960833##PRENILAN RTD                                 20MG CX 30 COMP REV##9,18 
7896004751634##PRENISOL                                     3MG/ML FR 60ML##10,91 
7896014627707##PRESERV                                      2% GEL VAG 5BG X 5##15,53 
7896014627691##PRESERV                                      2% GEL VAG BG 40G + 8 APLIC##13,22 
7896180300220##PRESMIN                                      5MG SOL FR 5ML##15,94 
7896112470526##PRESS PLUS                                   2,5+10MG CX 30 CAP##33,55 
7896112470830##PRESS PLUS                                   5+10MG CX 30 CAP##50,73 
7896112422525##PRESS PLUS                                   5+10MG CX 60 CAP##88,70 
7896112471165##PRESS PLUS                                   5+20MG CX 30 CAP##55,37 
7896112478409##PRESSAT                                      10MG CX 20 COMP##47,21 
7896112478256##PRESSAT                                      10MG CX 30 COMP##62,86 
7896112413745##PRESSAT                                      10MG CX 60 COMP##81,17 
7894241277287##PRESSAT                                      10MG CX. C/ 60 COMP##75,37 
7896112432401##PRESSAT                                      2,5MG CX 30 COMP##16,49 
7896112413677##PRESSAT                                      2,5MG CX 60 COMP##29,70 
7896112477204##PRESSAT                                      5MG CX 20 COMP##24,99 
7896112477938##PRESSAT                                      5MG CX 30 COMP##31,74 
7896241277287##PRESSAT                                      5MG CX 60 COMP##40,59 
7894241278482##PRESSAT                                      CX. C/ 60 COMP##37,69 
7896004714455##PRESSEL                                      10MG CX 30 COMP##10,25 
7896004714462##PRESSEL                                      20MG CX 30 COMP##17,47 
7896004714448##PRESSEL                                      5MG CX 30 COMP##8,73 
7896862910259##PRESSOFLUX                                   40MG CX 40 COMP##6,01 
7896862910457##PRESSOMEDE                                   10MG 3BL X 10 COMP##14,45 
7896862910969##PRESSOMEDE                                   10MG CX 30 COMP##13,52 
7896862917395##PRESSOMEDE                                   10MG CX 500 COMP (EMB HOSP)##161,07 
7896862921217##PRESSOMEDE                                   10MG CX 50BL X 10 COMP (EMB HOSP)##161,07 
7896862910976##PRESSOMEDE                                   10MG CX 6BL X 10 COMP##28,90 
0000000000000##PRESSOMEDE                                   10MG STRIP 30 COMP##13,42 
0000000000000##PRESSOMEDE                                   10MG STRIP 500 COMP (EMB HOSP)##149,55 
7896862910914##PRESSOMEDE                                   10MG STRIP 60 COMP##28,90 
7896862910464##PRESSOMEDE                                   20MG CX 3BL X 10 COMP##19,18 
7896862917739##PRESSOMEDE                                   20MG CX 50BL X 10 COMP (EMB HOSP)##188,08 
7896862921224##PRESSOMEDE                                   20MG STRIP 500 COMOP (EMB HOSP)##202,56 
7896862910907##PRESSTOPRIL                                  25MG CX 1000 COMP (EMB HOSP)##234,32 
7896862910822##PRESSTOPRIL                                  25MG CX 28 COMP##11,25 
7896862910884##PRESSTOPRIL                                  25MG CX 30 COMP##13,73 
7896862917067##PRESSTOPRIL                                  25MG CX 500 COMP (EMB HOSP)##117,16 
7896862910891##PRESSTOPRIL                                  25MG CX 60 COMP##27,45 
7896317908077##PREV-KEL                                     BG 15##58,77 
7896181901600##PREVAX                                       15MG CX 10 COMP##95,41 
7896181903406##PREVAX                                       50MG PO LIOF INJ FA X 5ML##84,75 
7898942324611##PREVELIP                                     CX 60 COMP##66,04 
7896004707846##PREVIANE                                     0,075+0,020 CX 21 COMP REV##16,61 
7896004818993##PREVIANE                                     0,075+0,020MG CX 3BL X 21COMP REV##39,25 
7896004710051##PREVIDEZ 2                                   0,75MG CX 2 COMP##17,47 
7896004734576##PREVYASM                                     3+0,03MG CX 21 COMP REV##30,20 
7896004709086##PREVYOL-2                                    0,75MG CX 2 COMP##10,37 
7896672201455##PRIDECIL                                     10MG CX 20 CAP GEL DURA##15,81 
7896672201462##PRIDECIL                                     4MG/ML SOL ORAL GTS FR 10ML##10,58 
7891058006204##PRIMACOR                                     1MG SOL INJ 10 AMP X 10ML##553,11 
7896360001275##PRIMAVIT                                     1000MG FR 30 CAP##45,00 
7891317007003##PRIMERA                                      0,150+0,020MG CX 21 COMP##17,90 
7891317462475##PRIMERA                                      0,150+0,020MG CX 63 COMP##37,64 
7891317008284##PRIMERA                                      0,150+0,030MG CX 21 COMP##17,90 
7891317462468##PRIMERA                                      0,150+0,030MG CX 63 COMP##37,64 
7896637025225##PRIMID                                       100MG CX 100 COMP##37,76 
7896637025232##PRIMID                                       250MG CX 20 COMP##17,83 
7891106906005##PRIMOGYNA                                    1MG CX 28 DR##22,59 
7891106907224##PRIMOGYNA                                    2MG CX 28 DR##45,17 
7891106906012##PRIMOLUT NOR                                 10MG CX 30 COMP##12,23 
7896083400577##PRIMORIS                                     730MG CX 45 CAP##41,95 
7891106908641##PRIMOSISTON                                  2+0,01MG CX 30 COMP##6,32 
7891106904803##PRIMOVIST                                    0,25MG/ML SOL INJ CX SER X 10ML##279,09 
7896082900191##PRINACHOL                                    GOTAS 30ML##25,99 
7897337702393##PRINIVIL                                     10MG CX 30 COMP##63,18 
7897337702430##PRINZIDE                                     10+12,5MG CX 30 COMP##46,66 
7897337702447##PRINZIDE                                     20+12,5MG CX 30 COMP##88,88 
7891045014366##PRISTIQ                                      100 MG CX 28 COMP REV##109,20 
7891045013147##PRISTIQ                                      100MG CX 1 BL X 14 COMP REV##58,85 
7891045009935##PRISTIQ                                      100MG CX 14 COMP REV##58,85 
7891045009942##PRISTIQ                                      100MG CX 28 COMP  REV##109,20 
7891045009911##PRISTIQ                                      50 MG CX 14 COMP REV##49,61 
7891045010221##PRISTIQ                                      50 MG CX 7 COMP REV##24,50 
7891045013123##PRISTIQ                                      50MG  CX 14 COMP REV##49,61 
7891045013130##PRISTIQ                                      50MG  CX 28 COMP REV##99,21 
7891045013116##PRISTIQ                                      50MG  CX 7 COMP REV##24,50 
7891045009928##PRISTIQ                                      50MG CX 28 COMP REV##99,21 
7896261000711##PRIVINA                                      1MG SOL NAS FR GTS 15ML##5,20 
7896685300961##PROBEK'S                                     CREME DERM 50##31,26 
7898495603966##PROBENTOL DERMA                              20##14,19 
7898495605762##PROBENTOL DERMA                              DISPLAY COM 12 UNIDADES X 20##170,28 
7898495606097##PROBENTOL DERMA                              HAIR SPRAY FR PET 50ML##19,69 
7898495605809##PROBENTOL DERMA                              SOL CT PET 50ML##16,39 
7896523201627##PROBENXIL                                    10MG GEL BG 60##8,30 
7896523207100##PROBENXIL                                    15MG/ML SUS OR 100 FR GTS X 20ML HOSP##268,65 
7896523202860##PROBENXIL                                    15MG/ML SUS OR FR GTS 20ML##6,40 
7896523201610##PROBENXIL                                    50MG CX 10 COMP##5,86 
7896523207094##PROBENXIL                                    50MG CX 1000 DR##32,23 
7896523201641##PROBENXIL                                    50MG CX 20 DR##6,67 
7896523209753##PROBENXIL                                    50MG CX 25BL X 20 DRG HOSP##18,35 
7898040323844##PROBIATOP                                    30 SACHES X 1##67,15 
7898040323837##PROBIOTIL                                    1BL X 10 COMP##29,38 
7896083410675##PROBIOVIT                                    CX 40 COMP##62,11 
7896094201538##PROCIMAX                                     20MG CX 28 COMP##38,80 
7896094207783##PROCIMAX                                     20MG CX 7 COMP REV##18,09 
7896094202719##PROCIMAX                                     40MG CX 28 COMP REV##74,40 
7898029557116##PROCORALAN                                   5MG CX 28 COMP##43,45 
7898029557123##PROCORALAN                                   5MG CX 56 COMP##86,68 
7898029557147##PROCORALAN                                   7,5MG CX 28 COMP##66,49 
7898029557154##PROCORALAN                                   7,5MG CX 56 COMP##133,00 
7891142143815##PROCSIM                                      250MG CX 14 COMP##22,03 
7891142143808##PROCSIM                                      250MG CX 6 COMP##17,56 
7891142143839##PROCSIM                                      500MG CX 14 COMP##33,80 
7891142143822##PROCSIM                                      500MG CX 6 COMP##30,85 
7896261011632##PROCTO-GLYVENOL                              400+40MG SUP RET X 10##18,45 
7896261009226##PROCTO-GLYVENOL                              50+20MG CREME BG 30G+10APLIC##15,78 
7896862925031##PROCTOBEM                                    POM BG 25##20,22 
7896641810510##PROCTODERM                                   SABONETE LIQUIDO INTIMO FR 100ML##20,93 
7897299900851##PROCTOLIV                                    20+100+20+5M##32,39 
7896472504350##PROCTOX-H                                    BG 20G+6 APLIC##19,00 
7896006212201##PROCTS H                                     CX 1 BG 20G+APLIC##25,74 
7896641805905##PROCTYL                                      100+27MG CX 15 SUP RET##36,43 
7896641803642##PROCTYL                                      POM 10BG X 3G+10APLIC##33,93 
7896641801792##PROCTYL                                      POM BG 30##33,93 
7896658003530##PROEPA                                       1000MG CX 45 CAP##36,20 
7896658022197##PROEPA GESTA                                 CAP BLX30##41,64 
7896658021183##PROEPA GESTA                                 CX 30 CAP##41,64 
7891058003838##PROFENID                                     1MG XPE FR 150ML+SER DOS##12,74 
7896070601895##PROFENID                                     20MG SOL ORAL GTS 20ML##17,27 
7896070601895##PROFENID                                     20MG SOL ORAL X 20ML##17,27 
7896070601826##PROFENID                                     25MG GEL DERM BG 30##16,08 
7896070601703##PROFENID                                     50MG CX 24 CAP##26,55 
7896070601871##PROFENID                                     50MG SOL INJ CX 6 AMP X 2ML##15,91 
7896070601765##PROFENID ENTERICO                            100MG CX 20 COMP REV##32,18 
7891058000394##PROFENID ENTERICO                            100MG CX 3 COMP REV##4,82 
7896070601789##PROFENID IV                                  100MG PO INJ CX 50FA##490,01 
7891058011499##PROFENID PROTECT                             200+20MG FR X 10 CAP##33,90 
7896070601796##PROFENID RETARD                              200MG CX 10 COMP DES LENTA##26,73 
7896070601710##PROFENID SUPOSITORIO                         100MG CX 10 SUP RET##19,24 
7896112180647##PROFERGAN                                    20MG/G CREM DERM BG 30##9,27 
7896112148685##PROFERGAN                                    25MG CX 20 COMP REV##5,15 
7891317411923##PROFLAM                                      100MG CX 12 COMP##30,84 
7891317440312##PROFLAM                                      100MG CX 6 COMP##14,85 
7891317412661##PROFLAM                                      CREME BG 30##21,19 
7894916502313##PROFLOX                                      250MG FR 10 COMP##18,43 
7894916501934##PROFLOX                                      250MG FR 14 COMP##22,00 
7894916502320##PROFLOX                                      500MG FR 10 COMP##29,60 
7894916501927##PROFLOX                                      500MG FR 14 COMP##33,83 
7894916502399##PROFLOX                                      750MG CX 10 COMP##43,86 
7896422510394##PROFOL                                       CX 20 COMP##13,89 
7896422510387##PROFOL                                       SUS FR 100ML##13,01 
7896014682010##PROFOLEN                                     10MG CX 50AMP X 20ML##1.793,68 
7896014682003##PROFOLEN                                     10MG/ML EMU CX 5AMP X 20ML##174,46 
7891158026096##PROFORT RTH                                  SF-1000ML##650,00 
7896212426911##PROGRAF                                      5MG CX 10 AMP X 1ML##3.937,80 
7896212426881##PROGRAF CAP                                  1MG CX 100 CAP##801,15 
7896212426898##PROGRAF CAP                                  5MG CX 50 CAP##2.002,85 
7896212422029##PROGRAF XL                                   1MG CX 50 CAP##400,58 
7896212422036##PROGRAF XL                                   CAP 5 5X10 JCBR##2.002,85 
7896006219200##PROHAIR                                      1MG CX 30 COMP##47,38 
7892953100615##PROLEUKIN                                    18000MUI PO LIOF 1FA EMB HOSP##1.684,37 
7896015523039##PROLIA                                       60MG SOL INJ SER X 1ML##598,12 
7891268106008##PROLIFT                                      4MG CX 20 COMP##105,50 
7896658025129##PROLIVE                                      1 BI UFC CAP BLX15##30,48 
7896658025112##PROLIVE                                      1 BI UFC CAP BLX30##57,35 
7896658020025##PROLIVE                                      CX 15 CAP##30,48 
7896658020018##PROLIVE                                      CX 30 CAP##57,35 
7896226503721##PROLOPA                                      125MG FR 30 COMP DISP##41,32 
7896226500515##PROLOPA                                      250MG FR 30 COMP##55,68 
7896226500362##PROLOPA                                      HBS125MG CX 30 CAP##41,32 
7896226506371##PROLOPA BD                                   125MG CX 30 COMP##27,84 
7896226506388##PROLOPA BD                                   125MG CX 60 COMP##55,68 
7898495602426##PROMAN BALM                                  BALM PREVENCAO PELO ENCRAVADO BG 60##35,80 
7898495602419##PROMAN FLUIDO                                FLUIDO FPS15 ROSTO E LABIOS BG 60##39,30 
7898495602976##PROMAN SABONETE                              SAB INTIMO MASCULINO FR 150ML##23,90 
7898040322564##PROMENSIL                                    100MG X 30 COMP REV##68,47 
7897917001342##PROMERGAN                                    20MG CREME DERM BG 30##10,40 
7891317490003##PROMESTRIENO                                 10MG/G CREME VAG BG 30G+20 APLIC##32,09 
7893736000313##PROMETIDINE                                  200MG CX 40 COMP##38,93 
7899420501791##PROMIM                                       10MG/G CREM VAG BG 30G+20 APLIC##39,94 
7891106905343##PROMIRA                                      400MG CX 7 COMP REV##140,88 
7891106905305##PROMIRA                                      40MG CX 5 COMP REV##111,34 
7898096577062##PRONAZOL                                     150MG CX 2 CAP##25,21 
7898096577352##PRONAZOL                                     150MG CX 4 CAP##49,12 
7898495603263##PRONENEN                                     1000+400UI/G+100MG/G POM DERM BG 45##11,12 
7898060131290##PROPALOL                                     40MG CX 40 COMP##6,48 
7897655400780##PROPAN                                       SUS FR 100ML##12,54 
7896006253693##PROPARK                                      2MG CX 75 COMP##15,67 
7897337709019##PROPECIA                                     CX 3BL X 10 COMP##107,64 
7896165600284##PROPESS                                      10MG CART 1 PESSARIO X 10M##182,26 
7891268106107##PROPIL                                       100MG CX 30 COMP##16,64 
7896241279908##PROPILRACIL                                  100MG CX 30 COMP##14,50 
7898060132747##PROPIONATO                                   0,5MG 30G CREM##10,26 
7899547520415##PROPIONATO DE CLOBETASOL                     0,5MG/G SOL CAP CX 50 FR GOT X 50G EMB HOSP##957,14 
7896004712413##PROPIONATO DE CLOBETASOL                     0,5MG CREME BG 30##12,88 
7896004712420##PROPIONATO DE CLOBETASOL                     0,5MG CREME BG 30##10,35 
7896714209852##PROPIONATO DE CLOBETASOL                     0,5MG CREME DERM BG 30##10,38 
7896004712437##PROPIONATO DE CLOBETASOL                     0,5MG POM BG 30##13,22 
7896004712406##PROPIONATO DE CLOBETASOL                     0,5MG POM BG 30##10,35 
7896714207018##PROPIONATO DE CLOBETASOL                     0,5MG POM DERM BG 30##10,53 
7896004713243##PROPIONATO DE CLOBETASOL                     0,5MG SOL CAP FR 50##15,95 
7898148297030##PROPIONATO DE CLOBETASOL                     0,5MG/G CREME DERM BG 30##10,98 
7898148297078##PROPIONATO DE CLOBETASOL                     0,5MG/G POM DERM BG 30##10,98 
7899547520408##PROPIONATO DE CLOBETASOL                     0,5MG/G SOL CAP FR GTS X 50##19,14 
7896472511273##PROPIONATO DE CLOBETASOL                     CAPILAR SOL FR 50##12,16 
7896112113584##PROPIONATO DE CLOBETASOL                     0,5MG/G CREME BG 30##10,71 
7895296210324##PROPIONATO DE CLOBETASOL                     0,5MG/G CREME DERM BG 30##12,93 
7896112114062##PROPIONATO DE CLOBETASOL                     0,5MG/G POM BG 30##11,01 
7895296210423##PROPIONATO DE CLOBETASOL                     0,5MG/G POM DERM BG 30##12,93 
7891317008796##PROPIONATO DE CLOBETASOL                     0,5MG CREME BG 30##10,43 
7896422505369##PROPIONATO DE CLOBETASOL                     0,5MG CREME BG 30##10,74 
7891317008802##PROPIONATO DE CLOBETASOL                     0,5MG POM BG 30##10,70 
7896422505352##PROPIONATO DE CLOBETASOL                     0,5MG POM BG 30##11,07 
7896472507047##PROPIONATO DE CLOBETASOL                     0,5MG/G CREM DERM BG X 30##10,41 
7896472506736##PROPIONATO DE CLOBETASOL                     0,5MG/G POM DERM BG X 30##10,41 
7896714230238##PROPIOSOL                                    0,5MG CREME BG 30##15,02 
7896714230245##PROPIOSOL                                    0,5MG POM BG 30##15,64 
7897406112351##PROPOTIL                                     10MG CX 10AMP X 20ML##274,07 
7897406112368##PROPOTIL                                     10MG CX 25AMP X 20ML##137,05 
7897406112733##PROPOTIL                                     10MG CX 50 AMP X 20ML##1.370,46 
7897406111880##PROPOTIL                                     10MG CX 5AMP X 20ML##685,23 
7896676405866##PROPOVAN                                     10MG CX 5AMP X 10ML EMB HOSP##104,83 
7896676411157##PROPOVAN                                     10MG CX 5FA X 20ML EMB HOSP##188,24 
7896523206387##PROPRAMED                                    40MG CX 20 COMP##3,94 
7896523206646##PROPRAMED                                    40MG CX 40 COMP##5,29 
7896523206967##PROPRAMED                                    40MG CX 50BL X 20 COMP##37,21 
7896523206394##PROPRAMED                                    80MG CX 20 COMP##5,45 
7894916550048##PROPRANOLOL AYERST                           10MG CX 30 COMP##4,24 
7894916550055##PROPRANOLOL AYERST                           40MG CX 30 COMP##6,75 
7894916550062##PROPRANOLOL AYERST                           80MG CX 30 COMP##10,96 
7898089300905##PROPRANOLOM                                  40MG CX 300BL X 20 COMP HOSP##911,59 
7898089300554##PROPRANOLOM                                  40MG CX 40 COMP##6,20 
7897337707077##PROSCAR                                      5MG CX 30 COMP##157,73 
7896676411690##PROSIGNE                                     100UI PO LIOF INJ CX 1FA##1.139,73 
7896676407761##PROSIGNE                                     50UI PO LIOF INJ CX 1FA##569,87 
7891317497842##PROSSO                                       250+2,5MG CX 30 COMP##48,27 
7896112136934##PROSTAFLUX                                   2MG CX 30 COMP##54,18 
7896226102733##PROSTAT HPB                                  CX 10 CAP##21,46 
7896226102283##PROSTAT HPB                                  CX 30 CAP##53,62 
7896083410415##PROSTATAL                                    160MG CX 30 CAP##58,88 
7896181900207##PROSTAVASIN                                  20MCG INJ CX 10 AMP##608,44 
7897851220274##PROSTEM                                      100MG CX 30 CAP##65,40 
7897851220281##PROSTEM                                      50MG CX 30 CAP##44,64 
7897851250349##PROSTEM PLUS                                 CX 12 CAP##31,20 
7898168001846##PROSTIGMINE                                  0,5MG INJ CX 50 AMP X 1ML##36,98 
7896006282518##PROSTMAN                                     50MG CX 20 COMP##97,39 
7891158101885##PROSURE RPB                                  GARRAFINHA 220ML BANANA##130,00 
7891158101892##PROSURE RPB                                  GARRAFINHA 220ML LARANJA##130,00 
7891158101878##PROSURE RPB                                  GARRAFINHA 220ML SB BAUNILHA##130,00 
7891158101861##PROSURE RTH                                  SF 500ML##600,00 
7891158091513##PROSURE TETRA                                240ML SB BANANA##125,58 
7891158092626##PROSURE TETRA                                240ML SB BAUNILHA##125,58 
7891158093715##PROSURE TETRA                                240ML SB LARANJA##125,58 
7898168001839##PROTAMINA                                    1000UI/ML INJ 10MG/ML X 25 AMP 5ML##59,70 
7896112142232##PROTANOL                                     25MG CX 20 COMP##10,68 
7898549752015##PROTECT                                      10 SACHES##39,81 
7898549751919##PROTECT                                      10 SACHES##39,81 
7890282800558##PROTECTINA                                   100MG CX 15 CAP MICRO##34,88 
7890282800565##PROTECTINA                                   200MG CX 10 CAP MICRO##46,20 
7890282800572##PROTECTINA                                   200MG CX 5 CAP MICRO##23,62 
7898911244964##PROTO-ITECAN                                 100MG CX 1FA X 5ML##1.576,20 
7899337000509##PROTOPIC                                     0,3MG POM DERM BG 10##72,50 
7899337000530##PROTOPIC                                     1,0MG POM DERM BG 10##75,47 
7899337000547##PROTOPIC                                     1,0MG POM DERM BG 30##90,97 
7898029557246##PROTOS                                       2000 MG 56 SACHES PO GRAN REC OR##247,61 
7898029557222##PROTOS                                       2000MG PO GRAN REC OR 28 SACHES##123,82 
7898029557215##PROTOS                                       2000MG PO GRAN REC OR14 SACHES##61,90 
7891106006132##PROTOVIT PLUS                                SOL ORAL FR GTS 20ML##9,28 
7896658025136##PROVANCE                                     CX 10 COMP##20,62 
7896658025143##PROVANCE                                     CX 30 COMP##54,93 
7891268106213##PROVERA                                      10MG CX 14 COMP EST##19,34 
7891106906036##PROVIRON                                     25MG CX 20 COMP##15,37 
8989898989898##PROVIVE                                      10MG/ML EMUL INJ 5FA X 100ML##703,89 
8902344341127##PROVIVE                                      10MG/ML EMUL INJ 5FA X 10ML##124,63 
8902344341226##PROVIVE                                      10MG/ML EMUL INJ 5FA X 20ML##151,51 
8902344341325##PROVIVE                                      10MG/ML EMUL INJ 5FA X 50ML##341,47 
8902344341424##PROVIVE                                      10MG/ML EMUL INJ FA X 100ML##149,12 
8902344341110##PROVIVE                                      10MG/ML EMUL INJ FA X 10ML##23,54 
8902344341219##PROVIVE                                      10MG/ML EMUL INJ FA X 20ML##35,51 
8902344341318##PROVIVE                                      10MG/ML EMUL INJ FA X 50ML##72,33 
7896714225074##PROXACIN                                     3,5MG SOL OFT FR GTS 5ML##13,66 
7896714200910##PROXACIN                                     500MG CX 14 COMP##51,81 
7896714200194##PROXACIN                                     500MG CX 6 COMP REV##27,06 
7896714218403##PROXACIN                                     500MG CX 80 BL X 6 COMP REV##1.984,84 
7896382700378##PROZAC                                       20MG CX 14 CAP##35,53 
7896382701764##PROZAC                                       20MG CX 28 CAP##69,05 
7896382706677##PROZAC                                       20MG CX 30 CAP##73,99 
7896382700361##PROZAC                                       20MG CX C/ 7 CAPS##17,43 
7896112155720##PROZEN                                       20MG SOL OR FR GOT X 20ML##24,47 
7896004727578##PRURI-GRAN                                   2MG FR 120ML##22,25 
7893736000405##PRURIDOL                                     250MG SOL TOP FR 100ML##10,96 
7896714224299##PRURIFEN                                     0,2MG XPE FR 120ML##26,74 
7896290402036##PRURIZIN                                     10MG CX 12 COMP##7,17 
7896290402043##PRURIZIN                                     25MG CX 12 COMP##10,01 
7896290400551##PRURIZIN                                     10MG CX 30 COMP##18,75 
7896290400568##PRURIZIN                                     25MG CX 30 COMP##26,19 
7896290400575##PRURIZIN                                     2MG SOL ORAL FR 100ML##24,64 
7899095201132##PRYLTEC                                      10MG CX 30 COMP##15,98 
7899095201163##PRYLTEC                                      20MG CX 30 COMP##20,56 
7891721000737##PSIQUIAL                                     20MG CX 28 COMP REV##32,29 
7896269900617##PSOREX                                       0,05% CREME BG 30##19,91 
7896269900631##PSOREX                                       0,05% POM BG 30##20,47 
7896269900594##PSOREX                                       0,05% SOL CAP FR 50##29,43 
7896206401610##PULMICORT                                    0,25MG SUS NEB CX 20 FR X 2ML##100,05 
7896206402013##PULMICORT                                    0,25MG SUS NEB CX 5 FR X 2ML##24,98 
7896206401627##PULMICORT                                    0,5MG SUS NEB CX 20 FR X 2ML##125,05 
7896206402020##PULMICORT                                    0,5MG SUS NEB CX 5 FR X 2ML##31,20 
7896714202785##PULMOFLUX                                    2MG/5ML XPE CX 50 X 100ML##305,85 
7896714261072##PULMOFLUX                                    2MG/5ML XPE FR 100ML##6,13 
7896226500133##PULMOZYME                                    2500UI CX 6 AMP X 2,5ML##905,52 
7891058006402##PURAN T4                                     100MCG CX 28 COMP##6,89 
7897595901033##PURAN T4                                     100MCG CX 30 COMP##7,39 
7891058006419##PURAN T4                                     112MCG CX 28 COMP##13,54 
7897595903372##PURAN T4                                     112MCG CX 30 COMP##14,50 
7891058003555##PURAN T4                                     12,5MCG CX 30 COMP##1,65 
7891058006426##PURAN T4                                     125MCG CX 28 COMP##10,12 
7897595901446##PURAN T4                                     125MCG CX 30 COMP##10,85 
7891058006433##PURAN T4                                     150MCG CX 28 COMP##10,89 
7897595901330##PURAN T4                                     150MCG CX 30 COMP##11,65 
7891058006440##PURAN T4                                     175MCG CX 28 COMP##13,74 
7897595901576##PURAN T4                                     175MCG CX 30 COMP##14,71 
7891058006457##PURAN T4                                     200MCG CX 28 COMP##23,77 
7897595903259##PURAN T4                                     200MCG CX 30 COMP##25,46 
7891058006365##PURAN T4                                     25MCG CX 28 COMP##7,29 
7897595901309##PURAN T4                                     25MCG CX 30 COMP##7,83 
