7898014561838##ALCANATAN                                    250MG FR 150ML##16,62 
7896181904052##ANGIPRESS CD                                 50+12,5MG CX 28 COMP##14,01 
7896181916086##ANGIPRESS CD                                 50+12,5MG CX 30 COMP##15,00 
7896181916079##ANGIPRESS CD                                 50/12,5MG CX15##7,50 
7898060138541##ANGITENS                                     100MG CX 30 COMP##18,09 
7898060138565##ANGITENS                                     25MG CX 30 COMP##10,69 
7898060138558##ANGITENS                                     50MG CX 30 COMP##12,62 
7898078941881##ANGYTON                                      200MG CX 20 COMP##19,08 
7891045020510##ANIDULAFUNGINA                               100MG PO SOL INJ 1FA##206,44 
7894916502955##ANLO                                         10MG CX 30 COMP##37,73 
7894916502948##ANLO                                         5MG CX 30 COMP##20,72 
7897851259571##ANLODIBAL                                    10MG CX 30 COMP##70,04 
7897851259564##ANLODIBAL                                    5MG CX 30 COMP##33,93 
7898040321505##ANNITA                                       20MG/ML PO SUS ORAL FR 100ML##43,64 
7898040321420##ANNITA                                       20MG/ML PO SUS ORAL FR 45ML##21,06 
7898040321512##ANNITA                                       500MG CX 6 COMP REV##50,39 
7896714204338##ANOXOLAN                                     1MG CX 20 COMP##10,40 
7896714204321##ANOXOLAN                                     2MG CX 20 COMP##16,42 
7896181903109##ANSENTRON                                    4MG SOL INJ AMP X 2ML##48,00 
7896181904403##ANSENTRON                                    8MG SOL INJ AMP X 4ML##98,13 
7896112118411##ANSIRAX                                      2MG CX 20 COMP##9,84 
7896094200234##ANSITEC                                      10MG CX 20 COMP##28,52 
7896094200227##ANSITEC                                      5MG CX 20 COMP##15,91 
7896317907667##ANSIVAL                                      100MG CX 30 COMP REV##45,84 
7896269900105##ANTAK                                        150MG CX 10 COMP##22,69 
7896269900112##ANTAK                                        150MG CX 20 COMP##42,88 
7896269900198##ANTAK                                        15MG XPE FR 120ML##33,91 
7896269900129##ANTAK                                        300MG CX 10 COMP##46,58 
7896269900136##ANTAK                                        300MG CX 20 COMP##89,46 
7896269900181##ANTAK                                        50MG SOL INJ CX 5AMP X 2ML##10,58 
7896112143321##ANTIDIN                                      150MG CX 20 COMP REV##18,81 
7896185909411##ANTIETANOL                                   250MG CX 20 COMP##5,43 
7898078940013##ANTIFEBRIN                                   100MG CX 200 COMP INF##17,18 
7897322700083##ANTIGERON                                    AP 75MG CX 30 COMP##9,30 
7896331701104##ANTIMAIS+SEPTICO                             21+1,33MG/ML SOL SPRAY FR 50##13,74 
7896026302920##ANTISTAX                                     360MG CX 30 COMP REV##47,46 
7896112141402##ANTITENSIN                                   40MG CX 40 COMP##5,10 
7896004733456##ANTIVIRAX                                    200MG CX 25 COMP##51,52 
7896004714301##ANTIVIRAX                                    50MG CREME 10##17,89 
7891317490133##ANTROFI                                      10MG/G CREM VAG BG 30G+20 APLIC##41,92 
7896658001765##ANTUX                                        30MG SOL ORAL FR GTS 20ML##19,23 
7896658001789##ANTUX                                        6MG XPE FR 120ML+CM ADU##18,89 
7896658012150##ANTUX                                        GOTAS X 10ML##8,21 
7896714218472##ANZACOR                                      50MG CX X 49BL X 10 COMP REV##743,03 
7898100243266##APETIPLUS BC                                 XPE 240ML SAB UVA##21,80 
7898100243051##APETIPLUS BC                                 XPE 240ML SAB CEREJA##21,80 
7899620910607##APETISINA                                    FR 240ML SB FRUTAS VERM##20,00 
7899620910584##APETISINA                                    FR 240ML SB UVA##20,00 
7898014560343##APETIVAN B+C                                 XPE SOL ORAL FR 240ML##19,34 
7898495603843##APETIVITON BC                                SOL ORAL FR 240ML+CP##22,07 
7894164000579##APEVINAT BC                                  0,8+0,12+0,15+0,134+1,334+4,33MG/ML FR 200ML##16,92 
7896004700502##APEVITIN B+C                                 SOL ORAL FR 240ML##22,35 
7891058028329##APIDRA                                       100UI/ML SOL INJ CARP X 3ML(REFIL)##20,66 
7891058027117##APIDRA                                       100UI/ML SOL INJ FA X 10ML##68,85 
7891058002985##APIDRA SOLOSTAR                              100UI/ML SOL INJ 1CARP X 3ML+SIS APLIC##20,66 
7896226101156##APLAUSE                                      20MG CX 30 COMP##55,49 
7896226101149##APLAUSE                                      CX 20 COMP REV##38,76 
7896523206769##APMED                                        XPE FR 240ML##21,81 
7891104193087##APRACUR                                      1+100+50MG CX 25BL X 6 COMP##111,50 
7891142115911##APRAZ                                        0,25MG CX 30 COMP##10,75 
7891142115935##APRAZ                                        0,5MG CX 30 COMP##20,96 
7891142115959##APRAZ                                        1,0MG CX 30 COMP##37,28 
7891142115973##APRAZ                                        2,0MG CX 30COMP##62,55 
7896261000216##APRESOLINA                                   25MG CX 20 DR##4,24 
7896261000223##APRESOLINA                                   50MG CX 20 DR##5,68 
7891058010751##APROVEL                                      150MG CX 30 COMP REV##100,90 
7891058010782##APROVEL                                      300MG CX 30 COMP REV##100,90 
7891058013202##APROZIDE                                     150+12,5MG CX 30 COMP REV##89,96 
7891058013226##APROZIDE                                     300+12,5MG CX 30 COMP REV##89,96 
7896472504060##AQUABEN                                      CX 4 ENV X 27,9G SB NATURAL##12,74 
7896472504077##AQUABEN                                      CX 4 ENV X 28,8G SB AGUA COCO##12,74 
7896472504084##AQUABEN                                      CX 4 ENV X 28,8G SB FRAMBOESA##12,74 
7896472504053##AQUABEN                                      CX 4 ENV X 28,8G SB UVA##12,74 
7897930762718##AQUACLIN                                     100MG GEL BG 60##25,84 
7896015520779##AQUAFRESH                                    KIT 2 CREM DENT 50G+ESCOVA DENT FLEX JUNIOR##7,17 
0000000000000##AQUAFRESH                                    KIT 2 CREM DENT 50G+ESCOVA DENT FLEX MEDIA##7,17 
0000000000000##AQUAFRESH                                    KIT 2 CREM DENT 50G+ESCOVA DENT TOP MACIA##7,17 
0000000000000##AQUAFRESH                                    KIT 2 CREM DENT 50G+ESCOVA DENT TOP MEDIA##7,17 
0000000000000##AQUAFRESH                                    KIT 2 CREM DENT 90G+ESCOVA DENT FLEX MACIA##7,17 
0000000000000##AQUAFRESH                                    KIT 2 CREM DENT 90G+ESCOVA DENT FLEX MEDIA##7,17 
7896015521585##AQUAFRESH                                    KIT 2 CREM DENT UW 90G+ESCOVA DENT FLEX MEDIA##6,34 
7896015521592##AQUAFRESH                                    KIT L3P2 CREME DENTAL TB 107,7G+50##7,17 
7804900671109##AQUAFRESH                                    CREME DENTAL EXTREME CLEAN BG 116##6,26 
7896015517366##AQUAFRESH                                    CREME DENTAL ULTIMATE WHITE BG 121,9##5,85 
0060815034225##AQUAFRESH                                    CREME DENTAL WHITE AND SHINE BG 125##6,26 
7794640650574##AQUAFRESH                                    CREME DENTAL SENSITIVE BG 107,7##4,91 
7794640650796##AQUAFRESH                                    CREME DENTAL TRIPLA PROTECAO BG 107,7##2,57 
7896422533898##ARACELI                                      0,075MG CX 28 COMP REV##19,18 
7896422533911##ARACELI                                      0,075MG CX 84 COMP REV##51,78 
7895296145374##ARACOR A                                     160+5MG 1BL X 10 COMP REV##9,85 
7895296145114##ARACOR A                                     160+5MG 3BL X 10 COMP REV##30,23 
7895296145329##ARACOR A                                     320+10MG 6BL X 10 COMP REV##47,43 
7895296145251##ARACOR A                                     320+5MG 6BL X 10 COMP REV##47,43 
7895296145046##ARACOR A                                     80+5MG 3BL X 10 COMP REV##30,23 
7895296094306##ARACOR HCT                                   160+12,5MG CX 30 COMP REV##19,17 
7895296094320##ARACOR HCT                                   160+25MG CX 30 COMP REV##19,17 
7895296171014##ARACOR HCT                                   320+12,5MG CX 30 COMP REV##19,17 
7895296094344##ARACOR HCT                                   320+25MG CX 30 COMP REV##19,17 
7895296094283##ARACOR HCT                                   80+12,5MG CX 30 COMP REV##19,17 
7891268100402##ARACYTIN                                     100MG PO LIOF INJ CX 1FA+DIL X 5ML##10,55 
7891268110746##ARACYTIN                                     20MG/ML SOL INJ CX 5FA X 5ML##58,94 
7891268100419##ARACYTIN                                     CS 100MG SOL INJ CX 1FA X 10ML##117,87 
7891268100433##ARACYTIN                                     CS 500MG SOL INJ CX 1FA X 25ML##58,94 
7896112427704##ARADOIS                                      100MG CX 30 COMP REV##59,09 
7896241228203##ARADOIS                                      100MG CX 60 COMP REV##74,85 
7896241241394##ARADOIS                                      25MG CX 30 COMP REV##22,04 
7896112486787##ARADOIS                                      50MG CX 30 COMP REV##37,78 
7896112486886##ARADOIS                                      50MG CX 60 COMP REV##56,26 
7896112486916##ARADOIS                                      50MG CX 90 COMP REV##70,31 
7896241241462##ARADOIS                                      25MG CX 60 COMP REV##33,77 
7896112427735##ARADOIS H                                    100+25MG CX 30 COMP REV##67,98 
7896112427797##ARADOIS H                                    100+25MG CX 60 COMP REV##80,64 
7896112435778##ARADOIS H                                    50+12,5MG CX 30 COMP REV##41,21 
7896112427933##ARADOIS H                                    50+12,5MG CX 60 COMP REV##58,72 
7896112428015##ARADOIS H                                    50+12,5MG CX 90 COMP REV##67,97 
7896676400014##ARAMIN                                       10MG INJ CX 50AMP X 1ML EMB HOSP##197,59 
7898943601056##ARANESP                                      100MCG/ML SOL INJ 4 SER PREENCH X 0,3ML+AGU##692,36 
7898943601070##ARANESP                                      100MCG/ML SOL INJ 4 SER PREENCH X 0,4ML+AGU##923,16 
7898943601094##ARANESP                                      100MCG/ML SOL INJ 4 SER PREENCH X 0,5ML+AGU##1.153,97 
7898943601063##ARANESP                                      100MCG/ML SOL INJ SER PREECH X 0,4ML-AGU##230,79 
7898943601049##ARANESP                                      100MCG/ML SOL INJ SER PREENCH X 0,3ML+AGU##173,12 
7898943601087##ARANESP                                      100MCG/ML SOL INJ SER PREENCH X 0,5ML+AGU##288,47 
7898943601117##ARANESP                                      200MCG/ML SOL INJ 4 SER PREENCH X 0,3ML+AGU##1.384,77 
7898943601131##ARANESP                                      200MCG/ML SOL INJ 4 SER PREENCH X 0,4ML+AGU##1.846,33 
7898943601155##ARANESP                                      200MCG/ML SOL INJ 4 SER PREENCH X 0,5ML+AGU##2.307,95 
7898943601100##ARANESP                                      200MCG/ML SOL INJ SER PREENCH X 0,3ML+AGU##346,16 
7898943601124##ARANESP                                      200MCG/ML SOL INJ SER PREENCH X 0,4ML+AGU##461,61 
7898943601148##ARANESP                                      200MCG/ML SOL INJ SER PREENCH X 0,5ML+AGU##577,01 
7898943601018##ARANESP                                      25MCG/ML SOL INJ 4 SER PREENCH X 0,4ML+AGU##231,12 
7898943601001##ARANESP                                      25MCG/ML SOL INJ SER PREENCH X 0,4ML+AGU##57,80 
7898943601032##ARANESP                                      40MCG/ML SOL INJ 4 SER PREENCH X 0,5ML+AGU##461,61 
7898943601025##ARANESP                                      40MCG/ML SOL INJ SER PREENCH X 0,5ML+AGU##115,35 
7898943601179##ARANESP                                      500MCG/ML SOL INJ 4 SER PREENCH X 0,3ML+AGU##3.461,92 
7898943601193##ARANESP                                      500MCG/ML SOL INJ 4 SER PREENCH X 0,6ML+AGU##6.923,84 
7898943601216##ARANESP                                      500MCG/ML SOL INJ 4 SER PREENCH X 1,0ML+AGU##10.203,44 
7898943601162##ARANESP                                      500MCG/ML SOL INJ SER PREENCH X 0,3ML+AGU##865,44 
7898943601186##ARANESP                                      500MCG/ML SOL INJ SER PREENCH X 0,6ML+AGU##1.530,52 
7898943601209##ARANESP                                      500MCG/ML SOL INJ SER PREENCH X 1,0ML+AGU##2.550,86 
7899095204829##ARARTAN                                      50MG CX 30 COMP##37,97 
7898932797883##ARASID                                       100MG CX 10 COMP REV##12,92 
7898932797890##ARASID                                       100MG CX 20 COMP REV##95,67 
7898932797906##ARASID                                       100MG CX 30 COMP REV##143,53 
7898932797913##ARASID                                       100MG CX 60 COMP REV##77,56 
7898932797807##ARASID                                       25MG CX 10 COMP REV##3,19 
7898932797814##ARASID                                       25MG CX 20 COMP REV##11,76 
7898932797821##ARASID                                       25MG CX 30 COMP REV##36,64 
7898932797838##ARASID                                       25MG CX 60 COMP REV##19,17 
7898932797845##ARASID                                       50MG CX 10 COMP REV##6,38 
7898932797852##ARASID                                       50MG CX 20 COMP REV##48,20 
7898932797869##ARASID                                       50MG CX 30 COMP REV##72,30 
7898932797876##ARASID                                       50MG CX 60 COMP REV##38,38 
7891058008123##ARAVA                                        100MG CX 3 COMP REV##152,62 
7891058008116##ARAVA                                        20MG CX 30 COMP REV##305,28 
7898029550124##ARCALION                                     200MG CX 20 DR##26,90 
7898029550131##ARCALION                                     200MG CX 60 DR##77,91 
7897930760035##ARCOLAN                                      20MG SHAMPOO FR 100ML##45,71 
7897337710015##ARCOXIA                                      90MG CX 1BL X 2 COMP##10,20 
7897337704977##ARCOXIA                                      60MG CX 14 COMP##63,00 
7897337704960##ARCOXIA                                      60MG CX 7 COMP##32,01 
7897337705004##ARCOXIA                                      90MG CX 14 COMP##70,22 
7897337704984##ARCOXIA                                      90MG CX 7 COMP##35,71 
7896006210108##ARES                                         SOL NAS FR 20ML##12,86 
7898096577857##ARFLEX                                       200MG CX 12CAP##36,98 
7898096577840##ARFLEX                                       200MG CX 6 CAP RET.##19,47 
7899095221482##ARGEVIT C                                    1G CX 10 ENV 4G SB LARANJA##16,69 
7899095221512##ARGEVIT C                                    1G CX 50 ENV 4G SB LARANJA##83,45 
7897316801116##ARGIROL                                      10% SOL OFT COL FR 5ML##7,01 
7896317909142##ARGIX                                        500MG CX 60 COMP REV##41,68 
7896242150152##ARICILINA                                    5000MUI PO INJ CX 50FA##238,76 
7896014686438##ARICILINA                                    5000000UI PO INJ CX 50FA##253,26 
7896242150176##ARIFENICOL                                   1000MG PO INJ CX 50 FA+DIL X 5ML##192,68 
7896242150190##ARIFENICOL                                   1000MG PO INJ CX 50FA+50DIL AMP X5ML##192,68 
7896242150206##ARIFENICOL                                   1000MG PO INJ CX 100FA##346,05 
7896014686433##ARIFENICOL                                   1000MG PO INJ CX 50 FA+50DIL AP X5ML##194,64 
7896014686650##ARIFENICOL                                   1000MG PO INJ CX 100 FA##367,06 
7896014686629##ARIFENICOL                                   1000MG PO INJ CX 50FA+DIL X 5ML##204,38 
7896206400866##ARIMIDEX                                     1MG CX 28 COMP REV##592,82 
7896658016103##ARIPIPRAZOL                                  10MG CX 10 COMP##99,74 
7896181921059##ARIPIPRAZOL                                  10MG CX 10 COMP##99,74 
7896658016158##ARIPIPRAZOL                                  15MG CX 10 COMP##149,60 
7896181921103##ARIPIPRAZOL                                  15MG CX 10 COMP##149,60 
7896658016189##ARIPIPRAZOL                                  20MG CX 10 COMP##199,46 
7896181921134##ARIPIPRAZOL                                  20MG CX 10 COMP##199,46 
7896658016233##ARIPIPRAZOL                                  30MG CX 10 COMP##299,21 
7896181921189##ARIPIPRAZOL                                  30MG CX 10 COMP##299,21 
7896242150220##ARISCORTEN                                   100MG PO INJ CX 50FA+DIL X2ML##176,80 
7896242150244##ARISCORTEN                                   500MG PO INJ CX 50FA+ AMP DILX4ML##176,80 
7896242150268##ARISCORTEN                                   100MG PO INJ CX 100FA VD INC##353,62 
7896242150251##ARISCORTEN                                   100MG PO INJ CX 50FA##176,80 
7896242150282##ARISCORTEN                                   500MG PO INJ CX 100FA VD INC##811,72 
7896242150275##ARISCORTEN                                   500MG PO INJ CX 50FA##405,85 
7896014688449##ARISCORTEN                                   100MG PO INJ CX 100FA##402,48 
7896014688432##ARISCORTEN                                   100MG PO INJ CX 50FA##201,23 
7896014688401##ARISCORTEN                                   100MG PO INJ CX 50FA X 2ML##201,23 
7896014688463##ARISCORTEN                                   500MG PO INJ CX 100 FA##923,87 
7896014688456##ARISCORTEN                                   500MG PO INJ CX 50FA##461,93 
7896014688418##ARISCORTEN                                   500MG PO INJ FA +AMP X 4MC##201,23 
7896658016264##ARISTAB                                      10MG CX 10 COMP##92,05 
7896658016271##ARISTAB                                      10MG CX 30 COMP##262,40 
7896658016301##ARISTAB                                      15MG CX 10 COMP##138,07 
7896658016318##ARISTAB                                      15MG CX 30 COMP##393,54 
7896658016356##ARISTAB                                      20MG CX 30 COMP##515,60 
7896658016394##ARISTAB                                      30MG CX 30 COMP##773,35 
7896242150299##ARISTOPRAMIDA                                5MG SOL INJ CX 100 AMP X 2ML EMB HOSP##58,83 
7896014688500##ARISTOPRAMIDA                                5MG/ML SOL INJ CX 100 AMP X 2ML EMB HOSP##66,11 
7896015518523##ARIXTRA                                      2,5MG CX 2 SER X 0,5ML##30,37 
7896015520113##ARIXTRA                                      7,5MG CX 2 SER X 0,6ML##74,20 
7898152460475##ARNICA DO MATO EC                            200MG/ML TINT FR X 100ML+CM##10,35 
7896083403233##ARNICA GEL                                   200MG/G BG 30##16,25 
7896083410453##ARNICA GEL                                   200MG/G BG 50##24,26 
7898152460512##ARNICA MONTANA C1                            0,01ML SOL OR FR GOT 30ML##10,35 
7891268100501##AROMASIN                                     25MG CX 30 DR##632,18 
7896015513030##AROPAX                                       20MG CX 30 COMP##86,46 
7897595603975##AROTIN                                       20MG CX 20 COMP REV##25,26 
7897595603951##AROTIN                                       20MG CX 30 COMP REV##37,94 
7891106006361##AROVIT                                       50MUI FR 30 DR##4,94 
7891106006354##AROVIT                                       150MUI SOL ORAL FR 20ML##5,40 
7891106006347##AROVIT                                       300MUI INJ CX 25 AMP X 1ML EM##26,79 
7891106908481##AROVIT VITA                                  150MUI/ML SOL OR FR X 20ML##5,40 
7891106908474##AROVIT VITA                                  300MUI/ML SOL INJ CX 25AMPX1ML##26,79 
7896637017015##ARPADOL                                      400MG CX 10 COMP REV##15,87 
7896637017022##ARPADOL                                      400MG CX 30 COMP REV##47,60 
7896637018012##ARTANE                                       2MG CX 30 COMP##6,81 
7896637018029##ARTANE                                       5MG CX 30 COMP##7,96 
7896046300036##ARTELAC                                      3,2MG/ML SOL OFT FR GTS 10ML##10,74 
7894916502962##ARTEMIDIS 35                                 0,035+2MG CX 21 COMP##11,13 
7891317457327##ARTICO                                       1,5+1,2G PO SOL OR CX 10SACHE 5##35,89 
7891317457341##ARTICO                                       1,5+1,2G PO SOL OR CX 30SACHE 5##107,65 
7896281100415##ARTISAL                                      35+1+10+50MG POM DERM BG 30##10,51 
7894916503488##ARTOGLICO                                    30 SACHET PO ORAL 1,5##87,91 
7891721000423##ARTREN                                       100MG CX 10 CAP##15,05 
7897322700090##ARTRIL                                       300MG CX 20 DR##11,91 
7897322700106##ARTRIL                                       600MG CX 20 DR##21,89 
7896006252160##ARTRINID                                     100MG/ML PO LIOF CX 50FA EMB HOSP##369,97 
7896006210245##ARTRINID                                     50MG CX 24 COMP##24,02 
7896006213543##ARTRINID                                     50MG/ML SOL INJ CX 50FA X 2ML EMB HOP##104,32 
7898216360598##ARTRITEC                                     15MG CX 10 COMP##24,39 
7898216365272##ARTRITEC                                     15MG CX 500 COMP EMB HOSP##707,32 
7898216365265##ARTRITEC                                     7,5 MG CX 500 COMP EMB HOSP##390,07 
7898216360581##ARTRITEC                                     7,5MG CX 10 COMP##13,45 
7896281152018##ARTRODAR                                     50MG CX 30 DR##94,13 
7896658003035##ARTROLIVE                                    1500+1200MG CX 15 ENV X 4##62,10 
7896658021268##ARTROLIVE                                    1500+1200MG CX 30 ENV X 4##100,59 
7896658004858##ARTROLIVE                                    500+400MG FR 30 CAP##53,26 
7896658004391##ARTROLIVE                                    500+400MG FR 90 CAP##149,98 
7896658023217##ARTROLIVE                                    500+400MG FR X 10 CAP##17,20 
7896658008115##ARTROSIL                                     160MG CX 10 CAP##14,88 
7896658001864##ARTROSIL                                     160MG CX 20 CAP##31,50 
7896658008122##ARTROSIL                                     320MG CX 10 CAP##24,46 
7896658001871##ARTROSIL                                     320MG CX 20 CAP##51,82 
7898942324314##ARTROTABS                                    CX 30 COMP##60,90 
7896862910372##AS-MED                                       100MG CX 200 COMP INF##18,03 
7896862910105##AS-MED                                       500MG CX 200 COMP ADU##45,09 
7891721000300##ASALIT                                       250MG SUP RET STR X 10##25,81 
7891721000225##ASALIT                                       3G ENEMA PO ENV+DIL X 100ML##34,86 
7891721000355##ASALIT                                       400MG CX 20 COMP REV##54,62 
7896212422616##ASCARIDIL                                    150MG CX 100##191,69 
7896212479870##ASCARIDIL                                    150MG CX 100ENV X 1COMP ADU##177,98 
7896212422647##ASCARIDIL                                    80MG  CX100##180,13 
7896212479863##ASCARIDIL                                    80MG CX 100ENV X 1COMP INF##167,25 
7896226101200##ASDRON                                       CX 20 COMP##32,27 
7896226101217##ASDRON                                       SOL FR GTS 30ML##48,85 
7896226101224##ASDRON                                       XPE FR 100ML##37,31 
7899420503207##ASEA HCT                                     20+12,5MG CX 10 COMP REV##11,56 
7899420503221##ASEA HCT                                     20+12,5MG CX 30 COMP REV##34,68 
7899420503252##ASEA HCT                                     40+12,5MG CX 10 COMP REV##11,56 
7899420503276##ASEA HCT                                     40+12,5MG CX 30 COMP REV##34,68 
7899420503153##ASEA HCT                                     40+25MG CX 10 COMP REV##11,56 
7899420503177##ASEA HCT                                     40+25MG CX 30 COMP REV##34,68 
7898216360017##ASETISIN                                     100MG CX 200 COMP INF##19,69 
7898216360055##ASETISIN                                     100MG CX 500 COMP##11,02 
7898216360024##ASETISIN                                     500MG CX 100 COMP ADU##25,07 
7898216360062##ASETISIN                                     500MG CX 500 COMP##35,41 
7893736007886##ASMAFIN                                      240MG SOL OR FR GTS 10ML##5,22 
7896004725574##ASMALIV                                      0,250MG/ML SOL INAL FR 20ML##5,80 
7893736020021##ASMANON                                      0,2MG XPE FR 150ML##35,77 
7893736010022##ASMANON                                      1MG CX 20 COMP##23,99 
7896714200163##ASMAPEN                                      100MG CX 20 COM##3,72 
7896714201337##ASMAPEN                                      100MG CX 25BLX20 COM EMB HOSP##93,11 
7896714200712##ASMAPEN                                      200MG CX 20 COM##5,34 
7896714240053##ASMAPEN                                      24MG INJ CX 50 AMP X 10ML##76,32 
7896714222127##ASMAPEN                                      INJ 50 AMP X 10ML##76,32 
7896672201615##ASMEN                                        CX 20 COMP##28,17 
7896672201622##ASMEN                                        XPE FR 100ML##29,85 
7896112143369##ASMOFEN                                      0,2MG/ML XPE FR 120ML##19,94 
7896112154624##ASMOFEN                                      0,2MG/ML XPE FR 120ML+CM##19,94 
7896112143383##ASMOFEN                                      1MG/ML SOL ORAL 30ML##15,71 
7898495600293##ASPARGIL C                                   CX 16 COMP EFERV##26,60 
7793640000143##ASPIRINA                                     500MG BL X 20 COMP##9,88 
7891106004213##ASPIRINA                                     500MG CX 100 COMP ACLAR##52,32 
7891106000895##ASPIRINA                                     500MG CX 50 ENV X 2 COMP EFV##106,95 
7891106904773##ASPIRINA                                     500MG CX 60BL X 4 COMP##125,56 
7891106910118##ASPIRINA C                                   400+240MG CX 5 ENV X 2 COM EFV##15,38 
7891106000888##ASPIRINA C                                   400+240MG CX 50 ENV X 2 COM EFV SB LIMAO##179,60 
7891106907101##ASPIRINA C                                   400+240MG CX 50 ENV X 2 COM EFV SB MORANGO##154,17 
7891106001946##ASPIRINA PREVENT                             100MG CX 30 COMP REV##10,99 
7891106005616##ASPIRINA PREVENT                             300MG CX 30 COMP REV##32,33 
7890282800206##ASSEPIUM                                     40+8MG SUS OR FR 100ML##8,62 
7890282800220##ASSEPIUM                                     40+8MG SUS OR FR 50ML##5,51 
7896862990084##ASSEPMED                                     1% FR 30ML##5,80 
7896862990091##ASSEPMED                                     1% SPRAY 50ML##10,68 
7896714221434##ASSEPTCARE                                   10MG SOL TOP FR 30ML##6,64 
7896714231198##ASSEPTCARE                                   10MG SOL TOP SPRAY FR 50ML##11,56 
7896714224817##ASSEPTCARE                                   PV SOL TOP FR 100ML##8,81 
7891317439637##ASSERT                                       100MG CX 20 COMP REV##55,70 
7891317439644##ASSERT                                       100MG CX 30 COMP REV##82,49 
7891317456580##ASSERT                                       25 MG COM REV CT BL AL PLAS INC X 30##27,97 
7891317456269##ASSERT                                       25MG CX 14 COMP REV##13,06 
7891317473907##ASSERT                                       25MG CX 7 COMP REV##7,64 
7891317446383##ASSERT                                       50 MG COM REV CT BL AL PLAS INC X 28##38,49 
7891317440305##ASSERT                                       50MG CX 10 COMP REV##21,05 
7891317412937##ASSERT                                       50MG CX 20 COMP REV##44,47 
7891317412920##ASSERT                                       50MG CX 30 COMP REV##41,24 
7891317499082##ASSERT                                       50MG CX 60 COMP REV##77,59 
7891058019709##ASTRALE                                      10MG CX 15 COMP##19,18 
7891058019716##ASTRALE                                      10MG CX 30 COMP##38,35 
7891058019723##ASTRALE                                      20MG CX 15 COMP##38,35 
7891058019730##ASTRALE                                      20MG CX 30 COMP##76,70 
7891317451752##ASTRO                                        1500MG PO SUS OR+DIL X 22ML+SER DOS##31,85 
7891317420833##ASTRO                                        500MG CX 2 COMP REV##6,69 
7891317412708##ASTRO                                        500MG CX 3 COMP##10,03 
7891317420840##ASTRO                                        500MG CX 5 COMP REV##16,73 
7891317441531##ASTRO                                        500MG CX 60 COMP##196,86 
7891317436025##ASTRO                                        500MG CX 9 COMP##42,19 
7891317412692##ASTRO                                        600MG CX 1FA+DIL##22,37 
7891317436148##ASTRO                                        900MG SUS ORAL FR+FLAC+DIL X 12ML+SER##31,85 
7896206402105##ATACAND                                      16MG CX 20 COMP##68,50 
7896206401146##ATACAND                                      16MG CX 30 COMP##93,59 
7896206403188##ATACAND                                      32MGC X 30 COMP##146,81 
7896206402099##ATACAND                                      8MG CX 20 COMP##63,58 
7896206401160##ATACAND                                      8MG CX 30 COMP##86,55 
7896206403119##ATACAND COMB                                 16+2,5MG CX 10 COM LIB PROL##23,81 
7896206403126##ATACAND COMB                                 16+2,5MG CX 30 COM LIB PROL##71,45 
7896206403133##ATACAND COMB                                 16+5MG CX 10 COM LIB PROL##28,08 
7896206403140##ATACAND COMB                                 16+5MG CX 30 COM LIB PROL##84,31 
7896206402075##ATACAND HCT                                  16+12,5MG CX 20 COMP##61,83 
7896206402082##ATACAND HCT                                  16+12,5MG CX 30 COMP##84,23 
7896206402419##ATACAND HCT                                  8+12,5MG CX 20 COMP##54,44 
7896206402426##ATACAND HCT                                  8+12,5MG CX 30 COMP##81,69 
7893736014938##ATECARD                                      100MG CX 30 COMP##34,59 
7893736004939##ATECARD                                      50MG CX 30 COMP##21,73 
7896112135005##ATELIDONA                                    100+25MG CX 30 COMP##37,07 
7896112135029##ATELIDONA                                    100+25MG CX 60 COMP##74,12 
7896112135104##ATELIDONA                                    50+12,5MG CX 30 COMP##20,57 
7896112135128##ATELIDONA                                    50+12,5MG CX 60 COMP##41,19 
7897655400018##ATENASE                                      500MG CX 4 COMP MAST##10,89 
7896714200873##ATENEO                                       100MG CX 28 COMP##30,49 
7896714200156##ATENEO                                       50MG CX 28 COMP##19,72 
7896714210124##ATENEUM                                      100MG CX 30 COMP##20,80 
7896714233376##ATENEUM                                      25MG CX 30 COMP##10,40 
7896714209944##ATENEUM                                      50MG CX 30 COMP##11,44 
7897851220182##ATENOBAL                                     100MG CX 30 COMP##24,43 
7897851220168##ATENOBAL                                     25MG CX 30 COMP##7,91 
7897851220175##ATENOBAL                                     50MG CX 30 COMP##15,24 
7898049799114##ATENOCLOR                                    100+25MG CX 28 COMP##29,63 
7898049799107##ATENOCLOR                                    50+12,5MG CX 28 COMP##17,46 
7896206400064##ATENOL                                       100MG CX 28 COMP##53,85 
7896206400996##ATENOL                                       25MG CX 28 COMP##20,24 
7896206400057##ATENOL                                       50MG CX 28 COMP##31,11 
7896472501960##ATENOLAB                                     100MG CX 28 COMP##11,29 
7896472513321##ATENOLAB                                     100MG CX 30 COMP##12,00 
7896472503094##ATENOLAB                                     100MG CX 700 COMP EMB HOSP##131,37 
7896472508051##ATENOLAB                                     25MG CX 28 COMP##8,22 
7896472513130##ATENOLAB                                     25MG CX 30 COMP##8,74 
7896472501779##ATENOLAB                                     50MG CX 28 COMP##10,16 
7896472513314##ATENOLAB                                     50MG CX 30 COMP##10,80 
7896472508853##ATENOLOL                                     100MG CX 28 COMP##16,55 
7896714215112##ATENOLOL                                     100MG CX 30 COMP##26,62 
