7896016806308##BARACLUDE                                    0,5MG CX 30 COMP##772,12 
7896026302333##BUSCOPAN                                     20MG INJ 5 AMP X 1ML##6,78 
7896026305679##BUSCOPAN COMPOSTO                            10+250MG CX 120 COMP REV E.M##54,72 
7896026301428##BUSCOPAN COMPOSTO                            10+250MG CX 20 COMP##9,12 
7795304000131##BUSCOPAN COMPOSTO                            2,5+20MG INJ 3AMP X 5ML##9,71 
7896026300117##BUSCOPAN COMPOSTO                            6,67+33,40MG SOL ORAL FR 20ML##8,71 
7896290402050##BUSILVEX                                     6MG/ML SOL INJ 8FA X 10ML##6.426,68 
7896181917823##BUSONID                                      100MCG SUS NAS FR 3ML (60 DOS)##4,75 
7896181913719##BUSONID                                      100MCG SUS NAS FR 6ML (120 DOS)##33,74 
7896181903567##BUSONID                                      200MCG AER BUC FR 5ML (100 DOS)##41,58 
7896181918721##BUSONID                                      200MCG BLX15##5,78 
7896181917700##BUSONID                                      200MCG CX 15 CAP##5,51 
7896181904441##BUSONID                                      200MCG CX 60 CAP+INAL##28,92 
7896181900740##BUSONID                                      200MCG CX 60 CAP+REFIL##23,17 
7896181917199##BUSONID                                      32MCG SUS NAS FR 3ML (60 DOS)##6,47 
7896181915171##BUSONID                                      32MCG SUS NAS FR 6ML (120 DOS)##12,96 
7896181917724##BUSONID                                      400MCG CX 15 CAP+INAL##11,31 
7896181917717##BUSONID                                      400MCG CX 15 CAP+REFIL##9,60 
7896181903222##BUSONID                                      400MCG CX 60 CAP+INAL##50,23 
7896181901372##BUSONID                                      400MCG CX 60 CAP+REFIL##40,27 
7896181903512##BUSONID                                      50MCG AER BUC FR 5ML (100 DOS)##26,97 
7896181917205##BUSONID                                      50MCG SUS NAS FR 3ML (60 DOS)##4,81 
7896181907176##BUSONID                                      50MCG SUS NAS FR 6ML (120 DOS)##19,27 
7896181917212##BUSONID                                      64MCG SUS NAS FR 3ML (60 DOS)##13,11 
7896181915188##BUSONID                                      64MCG SUS NAS FR 6ML (120 DOS)##26,23 
7898049790463##BUTACID                                      200MG CX 20 DR##7,38 
7898049793419##BUTACID                                      200MG CX 200 DRG EMB HOSP##96,49 
7896026301640##BUTAZONA CALCICA                             200MG CX 10 COMP REV##3,70 
7896004711676##BUTILBROMETO DE ESCOPOLAMINA                 10MG SOL FR GTS 20ML##6,04 
7898148296323##BUTILBROMETO DE ESCOPOLAMINA                 10MG/ML SOL OR CX 200 FR GOT X 10ML HOSP##428,73 
7898148296330##BUTILBROMETO DE ESCOPOLAMINA                 10MG/ML SOL OR CX 200 FR GOT X 20ML HOSP##545,64 
7898148296316##BUTILBROMETO DE ESCOPOLAMINA                 10MG/ML SOL OR FR GTS 20ML##6,01 
7896006237273##BUTILBROMETO DE ESCOPOLAMINA                 20MG/ML SOL INJ 50AMP X 1ML EMB HOSP##44,18 
7898166040977##BUTILBROMETO DE ESCOPOLAMINA+DIP. SODICA     6,67+333,4MG/ML FR GT X 20ML##3,90 
7896004701028##BUTILBROMETO DE ESCOPOLAMINA+DIPIRONA SODICA SOL OR FR 20ML##5,57 
7896672202414##BUTOVENT PULVINAL                            200MCG X 100 DOS##39,54 
7896016808005##BYETTA                                       250MCG/ML SOL INJ 1,2ML+SIST APLIC##314,58 
7896382705526##BYETTA                                       250MCG/ML SOL INJ 1,2ML+SIST+APLIC##330,32 
7896016808012##BYETTA                                       250MCG/ML SOL INJ 2,4ML+ISIST APLIC##314,58 
7896382705533##BYETTA                                       250MCG/ML SOL INJ 2,4ML+SIST+APLIC##330,32 
7896016808005##BYETTA                                       250MCG/ML SOL INJ VD X 1,2ML##330,32 
7896016808012##BYETTA                                       250MCG/ML SOL INJ VD X 2,4ML##330,32 
7896004706269##C CALCIO                                     CX 10 COMP EFV##11,98 
7896014681105##C-PLATIN                                     0,5MG/ML SOL INJ  1FA X 100ML##198,09 
7896014681006##C-PLATIN                                     0,5MG/MLSOL INJ 1FA X 20ML##47,85 
7896014681150##C-PLATIN                                     1MG SOL INJ FA X 100ML##221,00 
7896014681020##C-PLATIN                                     1MG SOL INJ FA X 50ML##110,51 
7896676421637##CABEREDUX                                    0,5MG CX 2 COMP##41,98 
7896676421620##CABEREDUX                                    0,5MG CX 8 COMP##145,15 
7892953001721##CABERGOLINA                                  0,5 MG COM FR VD AMB CT X 2##41,98 
7892953001738##CABERGOLINA                                  0,5 MG COM FR VD AMB CT X 8##145,15 
7892953000168##CABERTRIX                                    0,5MG FR 2 COMP##41,98 
7892953000175##CABERTRIX                                    0,5MG FR 8 COMP##145,15 
7891106904438##CABO USB                                     CABO USB PARA MED DE GLICEMIA (+IPI 5%)##78,20 
7891268117554##CADUET                                       10+10MG CX 30 COMP REV##129,54 
7891268117578##CADUET                                       10+20MG CX 30 COMP REV##213,35 
7891268117752##CADUET                                       5+10MG CX 10 COMP REV##37,68 
7891268117745##CADUET                                       5+10MG CX 30 COMP REV##113,03 
7891268117530##CADUET                                       5+20MG CX 30 COMP REV##196,85 
7898926572250##CAELYX                                       2MG/ML INJ SUS FA X 10ML##2.234,43 
7896023700811##CAFEINA                                      210MG FR 60 CAP##30,43 
7896112413912##CAFFE GREEN                                  EMULSAO CORP BG X 190##116,06 
7896112414919##CAFFE GREEN                                  SERUM OLHOS BG X 20##92,77 
7896112418931##CAFFE GREEN                                  CREME GEL NOTURNO BG 60##104,58 
7896112418979##CAFFE GREEN                                  GEL DIURNO BG 60G DIURNO##107,57 
7896112418900##CAFFE GREEN                                  LOCAO TONICA X 140ML##41,13 
7896112418948##CAFFE GREEN                                  MOUSSE DE LIMPEZA X 150ML##44,80 
7891106900775##CAFIASPIRINA                                 650+65MG CX 100 COMP##86,70 
7897322706528##CAFILISADOR                                  500+65MG CX 16 COMP##13,50 
7897322706931##CAFILISADOR                                  500+65MG CX 25BL X 4 COMP##85,52 
7893454144689##CAGEL GEL                                    GEL BG 50##3,43 
7898168007619##CALADRYL                                     LOCAO POS SOL FR 100ML##16,83 
7891268403008##CALADRYL                                     CREME BG 28##10,41 
7896523207377##CALAMED                                      80+10+1MG/G CREM BG AL 28##8,85 
7896523206189##CALAMED                                      80+10+1MG/ML LOCAO FR 100ML##12,88 
7896523206677##CALAMED                                      80+10+9MG/G SUS AER FR 120##20,75 
7896714250014##CALAMYN                                      LOCAO CREME FR 120ML##14,94 
7898430191046##CALCEOS D                                    300MG+200UI CX 60 COMP REV##33,42 
7898430191114##CALCEOS D K2-7                               600MG+200UI+45MCG FR 60 COMP##46,10 
7898430191039##CALCEOS KIDS                                 21,2+14,4+6+0,4MG/20UI/0,09MCG SOL FR 200ML##25,64 
7896317901924##CALCICHELL                                   250MG PO ORAL CX 15 ENV X 3,5##28,48 
7896317901917##CALCICHELL                                   500MG PO ORAL CX 15 ENV X 7##46,41 
7898495603799##CALCIFIX COMPOSTO B12                        0,10+0,0012+45MG/ML FR 300ML+CP MED##15,84 
7891058017736##CALCIGENOL                                   10+0,100MG/ML SUS OR FR 300ML##7,88 
7891158023989##CALCIJEX                                     1MCG SOL INJ 3AMP X 1ML##57,84 
7896023700491##CALCIO 500D                                  FR 60 CCOMP##23,14 
7896083400041##CALCIO DE OSTRAS                             750MG CX 45 CAP##19,12 
7893353614818##CALCIO GEL                                   400MG FR 60 CAP##37,28 
7896082900290##CALCIO ZURITA                                CX 30 COMP##25,67 
7897917002783##CALCIOFAR                                    FR 100ML##16,68 
7897732602601##CALCITHEO                                    500MG CX 50 COMP##7,74 
7897732602977##CALCITHEO D3                                 SUPL VITAMINICO FR X 60 CAP##49,62 
7898414850242##CALCITRAN B12                                FR 150ML##18,06 
7898414850891##CALCITRAN D3                                 CX 30 COMP##25,31 
7898414850617##CALCITRAN D3                                 CX 60 COMP##46,07 
7896261005761##CALCIUM D3                                   600MG+200UI CX 30 COMP REV##24,36 
7896261008519##CALCIUM D3                                   600MG+200UI CX 60 COMP REV##45,95 
7896261012639##CALCIUM SANDOZ F                             875+1132MG CX 10 COMP EFV##11,64 
7896261012653##CALCIUM SANDOZ FF                            1750+2263MG CX 10 COMP EFV##18,79 
7896261013353##CALCIUM SANDOZ+VIT C                         327+1000+1000MG CX 10 COMP EFV SB LARANJA##10,93 
7891058013417##CALCORT                                      30MG CX 10 COMP##99,27 
7891058013318##CALCORT                                      6MG CX 20 COMP##41,64 
7896226101248##CALDE                                        1500MG+400UI CX 20 COMP##16,28 
7896226101231##CALDE                                        1500MG+400UI CX 60 COMP##50,24 
7896226105208##CALDE K2                                     CX 30 COMP REV##51,21 
7896226105147##CALDE MAG                                    CX 60 COMP REV##54,54 
7898927500184##CALDROX D                                    600MG+400UI FR 20 PAST MAST SB MENTA##14,64 
7898927500191##CALDROX D                                    600MG+400UI FR 60 PAST MAST SB MENTA##43,30 
7896317900200##CALMAN                                       100+30+100MG CX 20 COMP REV##18,53 
7896317900217##CALMAN                                       100MG SOL ORAL FR 100ML##20,38 
7891142118080##CALMINEX                                     ICE AEROSOL 170##31,49 
7891142118073##CALMINEX                                     ICE AEROSSOL 60##17,06 
7891142018106##CALMINEX                                     HOT C/ 10 ALMOFADAS TERMICAS ADES##64,60 
7891142018090##CALMINEX                                     ICE BAG C/5 BOLSAS TERMICAS DESC##39,15 
7891142118011##CALMINEX                                     H 0,05+0,02+0,016+0,09+0,01G POM BG 20G HUMAN##9,88 
7891142118042##CALMINEX                                     0,04+0,0136+0,01G BG 20G ATLETA##9,88 
7897732602806##CALMINTHEO                                   FR 100ML##10,97 
7898152460970##CALMOPLANTAS                                 250MG FR 100ML+CM TINT##10,35 
7898152460997##CALMOPLANTAS                                 400MG CX 50 CAP##17,50 
7891317476090##CALNATE                                      900MG PO ORAL 60 ENV X 30##327,80 
7891317465025##CALNATE                                      900MG PO ORAL 60 ENV X 30##983,38 
7896523219714##CALOMED                                      0,2G/ML+0,05ML/ML FR 10ML##19,71 
7896261002029##CALSAN                                       500MG CX 30 COMP MAST##33,45 
7897917001588##CALSOL                                       FR 100ML##14,39 
0000000000000##CALSOL                                       POM BG 20##7,43 
7891045040884##CALTRATE                                     600+D 400UI FR 30 COMP##25,12 
7891045040891##CALTRATE                                     600+D400UI FR 60 COMP##50,25 
7891045040648##CALTRATE                                     600+M FR 30 COMP##23,42 
7891045040655##CALTRATE                                     600+M FR 60 COMP##46,88 
7896094200982##CALTREN                                      10MG CX 30 COMP##33,77 
7896094201002##CALTREN                                      20MG CX 30 COMP##63,89 
7897655400025##CAMBEM                                       180MG CX 2 COMP##6,81 
7897655400032##CAMBEM                                       6MG/ML SUS ORAL FR 20ML##5,37 
7896023700637##CAMOMILA                                     SOL FR 150ML##17,81 
7897129300059##CAMOMILINA C                                 CX 20 CAP##27,45 
7891268100471##CAMPTOSAR                                    100MG SOL INJ CX 1FA X 5ML##1.539,74 
7891268100150##CAMPTOSAR                                    20MG SOL INJ CX 1FA X 2ML##662,77 
7891268100167##CAMPTOSAR                                    20MG SOL INJ CX 1FA X 5ML##1.637,51 
7891268100488##CAMPTOSAR                                    40MG SOL INJ CX 1FA X 2ML##623,20 
7897337707381##CANCIDAS                                     50MG CX 1FA##2.554,27 
7897337707398##CANCIDAS                                     70MG CX 1FA##3.290,44 
7895296135146##CANDECOR                                     16MG CX 1BL X 30 COMP##60,61 
7895296135115##CANDECOR                                     8MG CX 1BL X 30 COMP##56,19 
7895296170055##CANDECOR HCT                                 16+12,5MG CX 2BL X 15 COMP##54,02 
7895296170024##CANDECOR HCT                                 8+12,5MG CX CX 2BL X 15 COMP##52,78 
7896004742779##CANDEMED                                     16MG 1BL X 30 COMP##39,36 
7896004742762##CANDEMED                                     8MG 1BL X 30 COMP##34,30 
7896004745602##CANDEMED HCT                                 16+12,5MG CX 2BL X 15 COMP##37,62 
7896004745596##CANDEMED HCT                                 8+12,5MG CX 2BL X 15 COMP##37,62 
7896004813226##CANDERM                                      250MG CX 20 COMP##10,88 
7896004707570##CANDERM                                      400MG CX 20 COMP##15,04 
7897595626127##CANDESARTANA +HCT                            16+12,5MG CX 30 COMP##45,75 
7896004742571##CANDESARTANA CILEXATILA                      16MG CX 30 COMP##60,83 
7896004742564##CANDESARTANA CILEXATILA                      8MG CX 30 COMP##56,25 
7896004745336##CANDESARTANA CILEXATILA+HCT                  16+12,5MG CX 30 COMP##54,75 
7896004745329##CANDESARTANA CILEXATILA+HCT                  8+12,5MG CX 30 COMP##53,08 
7896004742601##CANDESARTANA CILEXETILA                      16MG CX 30 COMP##60,83 
7896004742595##CANDESARTANA CILEXETILA                      8MG CX 30 COMP REV##56,25 
7897595611178##CANDESARTANA CILEXETILA                      16MG CX 30 COMP##60,82 
7897595611147##CANDESARTANA CILEXETILA                      8MG CX 30 COMP##56,25 
7895296135054##CANDESARTANA CILEXETILA                      16MG CX 30 COMP##60,83 
7894916147798##CANDESARTANA CILEXETILA                      16MG CX 30 COMP##60,83 
7895296135023##CANDESARTANA CILEXETILA                      8MG CX 30 COMP##56,25 
7894916147781##CANDESARTANA CILEXETILA                      8MG CX 30 COMP##56,25 
7895296168021##CANDESARTANA CILEXETILA+HCT                  16+12,5MG CX 30 COMP##54,75 
7894916148184##CANDESARTANA CILEXETILA+HCT                  16+12,5MG CX 30 COMP##54,75 
7896004745350##CANDESARTANA CILEXETILA+HCT                  16+12,5MG CX 30 COMP##54,75 
7895296168014##CANDESARTANA CILEXETILA+HCT                  8+12,5MG CX 30 COMP##53,08 
7894916148177##CANDESARTANA CILEXETILA+HCT                  8+12,5MG CX 30 COMP##53,08 
7896004745343##CANDESARTANA CILEXETILA+HCT                  8+12,5MG CX 30 COMP##53,08 
7898569761011##CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA    16+12,5MG  CX 30 COMP##34,69 
7898569760984##CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA    8+12,5MG CX 30 COMP##32,56 
7896658012181##CANDICORT                                    20+0,64MG CREME BG 10##8,84 
7896658001116##CANDICORT                                    20+0,64MG CREME DERM BG 30##17,66 
7896658001123##CANDICORT                                    20+0,64MG POM DERM BG 30##17,66 
7896004722702##CANDIGRAN                                    CREME BG 30##12,35 
7896112191933##CANDITRAT                                    100MUI CREME VAG BG 60G+14 APLIC##16,57 
7896112115045##CANDITRAT                                    100MUI SUS ORAL FR 50ML##16,30 
7896112140993##CANDITRAT                                    CREME VAG BG 60##16,57 
7896658001154##CANDORAL                                     200MG CX 10 COMP##26,41 
7891106900591##CANESTEN                                     1% CREME DERM BG 20##11,03 
7891106900898##CANESTEN                                     1% SOL TOP FR GTS 30ML##16,28 
7891106900614##CANESTEN                                     1% SOL TOP SPRAY X 30 ML##24,53 
7896023742903##CANFORA                                      PT 150##29,97 
7896004742731##CANSARCOR                                    16MG CX 1BL X 30 COMP##47,96 
7896004742748##CANSARCOR                                    8MG CX 1BL X 30 COMP##44,35 
7896004745527##CANSARCOR HCT                                16+12,5MG CX 2BL X 15 COMP##33,71 
7896004745510##CANSARCOR HCT                                8+12,5MG CX 2BL X 15 COMP##32,65 
7896658002366##CAPEL                                        SHAMPOO FR 120ML (+7% IPI)##39,94 
7897851220236##CAPILAREMA                                   75MG CX 30 COMP##27,79 
7897851221158##CAPILAREMA                                   75MG CX 60 COMP##49,43 
7897851220335##CAPOBAL                                      25MG CX 30 COMP##16,23 
7897851220342##CAPOBAL                                      50MG CX 30 COMP##32,62 
7896006226765##CAPOTRAT                                     25MG CX 30 COMP##16,34 
7896006226727##CAPOTRAT                                     25MG CX 500 COMP EMB HOSP##99,46 
7896006226123##CAPOTRAT                                     50MG CX 30 COMP##25,54 
7896714200477##CAPOTRINEO                                   12,5MG CX 30 COMP##11,31 
7896714207797##CAPOTRINEO                                   25MG CX 30 COMP##15,18 
7896714200385##CAPOTRINEO                                   50MG CX 30 COMP##32,84 
7899095200067##CAPOX                                        25MG CX 30 COMP##14,52 
7899095200081##CAPOX                                        50MG CX 30 COMP##18,15 
7896206405984##CAPRELSA                                     100MG CX 30 COMP REV##6.164,35 
7896206405991##CAPRELSA                                     300MG CX 30 COMP REV##16.372,72 
7898060138039##CAPTOCORD                                    12,5MG CX 15 COMP##5,83 
7898060138046##CAPTOCORD                                    12,5MG CX 30 COMP##8,94 
7898060138053##CAPTOCORD                                    25MG CX 15 COMP##6,46 
7898060138060##CAPTOCORD                                    25MG CX 30 COMP##10,03 
7898060131948##CAPTOCORD                                    25MG CX 60 COMP##12,12 
7898060138077##CAPTOCORD                                    50MG BL X 30 COMP##7,53 
7898060138084##CAPTOCORD                                    50MG CX 30 COMP##12,18 
7896472502752##CAPTOLAB                                     12,5MG CX 30 COMP##5,66 
7896472501915##CAPTOLAB                                     25MG CX 30 COMP##10,41 
7896472504558##CAPTOLAB                                     25MG CX 60 COMP##15,92 
7896472503018##CAPTOLAB                                     25MG CX 750 COMP##89,88 
7896472502783##CAPTOLAB                                     50MG CX 30 COMP##15,34 
7896523202327##CAPTOMED                                     12,5MG CX 20 COMP##7,48 
7896523206974##CAPTOMED                                     12,5MG CX 50BL X 20 COMP##37,25 
7896523202341##CAPTOMED                                     25MG CX 20 COMP##9,37 
7896523207841##CAPTOMED                                     25MG CX 25BL X 20 COMP HOSP##21,94 
7896523207292##CAPTOMED                                     25MG CX 60 COMP##14,08 
7896523206981##CAPTOMED                                     50MG 50BL X 20 COMP##90,07 
7896523202365##CAPTOMED                                     50MG CX 20 COMP##11,41 
7897917001472##CAPTOMIDO                                    12,5MG CX 30 COMP##8,56 
7897917001489##CAPTOMIDO                                    25MG CX 30 COMP##11,98 
7897917001496##CAPTOMIDO                                    50MG CX 30 COMP##20,69 
7898078940334##CAPTON                                       25MG CX 16 COMP##5,73 
7898078940341##CAPTON                                       25MG CX 28 COMP##7,57 
7896676413694##CAPTOPRIL                                    25MG CX 100 COMP EMB FRAC##25,69 
7896181903666##CAPTOPRIL                                    25MG CX 30 COMP##15,73 
7896676410808##CAPTOPRIL                                    12,5MG CX 30 COMP##10,33 
7896112116653##CAPTOPRIL                                    12,5MG CX 30 COMP##6,10 
7896004700328##CAPTOPRIL                                    12,5MG CX 30 COMP##12,03 
7896004704678##CAPTOPRIL                                    12,5MG CX 30 COMP##9,49 
7894916141130##CAPTOPRIL                                    12,5MG CX 30 COMP##9,07 
7896112176466##CAPTOPRIL                                    12,5MG CX 60 COMP##12,19 
7896004719306##CAPTOPRIL                                    12,5MG CX 90 COMP##32,52 
7899547502763##CAPTOPRIL                                    25MG CX 280 COMP EMB FRAC##171,71 
7896112116660##CAPTOPRIL                                    25MG CX 30 COMP##9,45 
7896004704326##CAPTOPRIL                                    25MG CX 30 COMP##19,63 
7898148290512##CAPTOPRIL                                    25MG CX 30 COMP##6,44 
7896004704654##CAPTOPRIL                                    25MG CX 30 COMP##17,09 
7894916141147##CAPTOPRIL                                    25MG CX 30 COMP##16,13 
7898049796199##CAPTOPRIL                                    25MG CX 510 COMP EMB HOSP##78,08 
7896004707020##CAPTOPRIL                                    25MG CX 60 COMP##28,72 
7896112176473##CAPTOPRIL                                    25MG CX 60 COMP##18,89 
7898148290536##CAPTOPRIL                                    25MG CX 600 COMP HOSP##283,52 
7896004719313##CAPTOPRIL                                    25MG CX 90 COMP##43,07 
7896714208084##CAPTOPRIL                                    50MG CX 30 COMP##30,99 
7896676410822##CAPTOPRIL                                    50MG CX 30 COMP##31,00 
7896112116677##CAPTOPRIL                                    50MG CX 30 COMP##18,89 
7896004704333##CAPTOPRIL                                    50MG CX 30 COMP##35,38 
7898148290550##CAPTOPRIL                                    50MG CX 30 COMP##19,31 
7896004706955##CAPTOPRIL                                    50MG CX 30 COMP##22,15 
7894916141154##CAPTOPRIL                                    50MG CX 30 COMP##25,09 
7896004707051##CAPTOPRIL                                    50MG CX 60 COMP##51,18 
7896112176480##CAPTOPRIL                                    50MG CX 60 COMP##37,78 
7898148290574##CAPTOPRIL                                    50MG CX 600 COMP HOSP##514,09 
7896004719320##CAPTOPRIL                                    50MG CX 90 COMP##76,77 
7897595603340##CAPTOPRIL                                    12,5MG CX 30 COMP##11,06 
7896422503655##CAPTOPRIL                                    12,5MG CX 30 COMP##12,67 
7896181903437##CAPTOPRIL                                    12,5MG CX 30 COMP##13,73 
7896422503679##CAPTOPRIL                                    12,5MG CX 90 COMP##33,66 
7897595603357##CAPTOPRIL                                    25MG CX 30 COMP##18,33 
7896422503709##CAPTOPRIL                                    25MG CX 30 COMP##19,63 
7898049795697##CAPTOPRIL                                    25MG CX 30 COMP##11,41 
7896006214984##CAPTOPRIL                                    25MG CX 30 COMP##17,83 
7897595603401##CAPTOPRIL                                    25MG CX 60 COMP##27,55 
7896422503716##CAPTOPRIL                                    25MG CX 60 COMP##28,86 
7896422503723##CAPTOPRIL                                    25MG CX 90 COMP##43,31 
7897595603364##CAPTOPRIL                                    50MG CX 30 COMP##34,79 
7896422503754##CAPTOPRIL                                    50MG CX 30 COMP##37,33 
7896181903970##CAPTOPRIL                                    50MG CX 30 COMP##39,85 
7896006235477##CAPTOPRIL                                    50MG CX 30 COMP##35,69 
7897595603418##CAPTOPRIL                                    50MG CX 60 COMP##46,37 
7896422503808##CAPTOPRIL                                    50MG CX 60 COMP##54,17 
7898361880668##CAPTOPRIL                                    12,5MG CX 30 COMP##17,96 
7898917592458##CAPTOPRIL                                    12,5MG CX 60 COMP EM FRAC##10,45 
7898917592465##CAPTOPRIL                                    12,5MG CX 60 COMP EMB FRAC##16,73 
